ds_id,adapter_id,monitoring_network,independence_unit,duplicate_family,observation_kind,stage3_scope
DS06,screened_records,SMHI_SHARK,SMHI_SHARK,DS06,phytoplankton_taxon_records,primary_candidate
DS26,screened_records,SMHI_IFCB,SMHI_IFCB,DS26,machine_classified_imaging,lifeform_method_secondary
DS02,screened_records,RWS_MWTL,RWS_MWTL,RWS_MWTL,phytoplankton_taxon_records,primary_candidate
DS04,plet_csv,BSH,BSH,DS04,phytoplankton_taxon_records,primary_candidate
DS05,plet_csv,NOVANA,NOVANA,DS05,phytoplankton_taxon_records,primary_candidate
DS07,plet_csv,CEFAS_SMARTBUOY,CEFAS_SMARTBUOY,DS07,phytoplankton_taxon_records,primary_candidate
DS08,unavailable,AWI_HELGOLAND,AWI_HELGOLAND,DS08,contact_required_carbon_biovolume,unavailable
DS03,eurobis_dwca,RWS_MWTL,RWS_MWTL,RWS_MWTL,aggregator_copy_taxon_records,primary_candidate_duplicate_audit
DS23,unavailable,NIOZ_MARSDIEP,NIOZ_MARSDIEP,DS23,contact_required_taxon_records,unavailable
DS16,plet_csv,MSS_STONEHAVEN,MSS_STONEHAVEN,DS16,phytoplankton_taxon_records,primary_candidate
DS10,plet_csv,VLIZ_LIFEWATCH,VLIZ_LIFEWATCH,DS10,flowcam_large_particle_records,lifeform_secondary
DS11,plet_csv,VLIZ_LIFEWATCH,VLIZ_LIFEWATCH,DS11,chlorophyll_observations,comparator
DS09,pangaea_tabular,AWI_SYLT,AWI_SYLT,DS09,semi_quantitative_and_quantitative_microplankton,exploratory
DS24,comp4_station,ICES_OSPAR_COMP4,ICES_OSPAR_COMP4,DS24,chlorophyll_and_nutrient_observations,comparator
DS27,ferrybox_summary,HEREON_FERRYBOX,HEREON_FERRYBOX,DS27,chlorophyll_fluorescence,comparator
DS28,unavailable,VLIZ_LIFEWATCH,VLIZ_LIFEWATCH,DS28,contact_required_hplc,unavailable
DS15,non_observational_product,EMODNET_DERIVED,EMODNET_DERIVED,DS15,gridded_presence_absence_product,exploratory_product
DS22,conversion_authority,HELCOM_PEG,HELCOM_PEG,DS22,biovolume_carbon_conversion_reference,conversion_authority
DS12,screened_records,CPR_SURVEY,CPR_SURVEY,DS12,cpr_event_pci_taxon_records,recurrence_secondary
