"search_run_id","discovery_date_utc","entry_id","entry_type","name","provider","evidence_url","identifier","reported_coverage","reported_access","relevant_variables","proposed_tier","proposed_role","screening_status","reason_code","verification_status","notes"
"MANUAL-20260807T195118Z","2026-08-07","DS22","conversion_reference","HELCOM EG Phyto biovolume file (PEG_BVOL)","HELCOM EG Phyto via ICES","https://ices-library.figshare.com/articles/report/HELCOM_Expert_Group_on_Phytoplankton_Biovolume_File/27900237","PEG_BVOL","republished annually as a new version","public","taxon geometric shapes and size classes and biovolume and carbon coefficients","not_applicable","conversion authority for Tier C carbon estimates","pending","version_must_be_pinned","search_summary_only","Not an observation dataset. Must be version-frozen and checksummed before any Tier C conversion. North Sea taxon coverage requires audit given Baltic-centred origin."
"MANUAL-20260807T195118Z","2026-08-07","DS22b","conversion_reference","Nordic Microalgae NOMP biovolume list","Nordic Microalgae","https://nordicmicroalgae.org/biovolume-lists/","","mirror and extension of the HELCOM list","public","geometric shapes and biovolume references","not_applicable","cross-check for DS22","pending","duplicate_family_of_DS22","search_summary_only","Treated as a mirror of DS22 rather than an independent authority."
"MANUAL-20260807T195118Z","2026-08-07","DS23","new_candidate","NIOZ Wadden Sea phytoplankton","NIOZ","https://www.gbif.org/dataset/1d276c75-d90c-40c8-973d-2eac7c8089e5","doi:10.15468/okwkou","NIOZ-Texel jetty at Marsdiep tidal inlet since 1974 at roughly 40 samples per year","public","phytoplankton species densities and Secchi and SPM and nutrients and chlorophyll and primary production","C_or_D","external coastal sentinel","pending","","search_summary_only","Absent from the original register. Tidal-inlet jetty station with strongly local hydrography. Duplicate check required against DS02 and DS03."
"MANUAL-20260807T195118Z","2026-08-07","DS24","new_candidate","OSPAR COMP4 COMPEAT input data files","ICES for OSPAR","https://ices-library.figshare.com/articles/dataset/Input_data_files_for_the_OSPAR_COMP_4_eutrophication_assessment_using_COMPEAT/22189111","figshare 22189111","Greater North Sea and Celtic Seas and Bay of Biscay for assessment period 2015-2020","public","harmonized in-situ chlorophyll and nutrients aggregated to COMP4 assessment areas","E","comparator and non-PhyC baseline and Stage 1 known-item recall benchmark","pending","","search_summary_only","Open R implementation at https://github.com/ices-tools-prod/COMPEAT. COMP4 also ingests remote sensing so independence must be checked per input stream."
"MANUAL-20260807T195118Z","2026-08-07","DS25","new_candidate","EMODnet Chemistry aggregated eutrophication product","EMODnet Chemistry","https://emodnet.ec.europa.eu/en/chemistry","","Greater North Sea","public","in-situ chlorophyll-a and nutrients as validated and harmonized aggregates","E","comparator and non-PhyC baseline candidate","pending","","search_summary_only","SeaDataNet ODV and NetCDF plus OGC WMS and WFS and CSW. Feeds Copernicus so independence from the assimilation chain must be established per source."
"MANUAL-20260807T195118Z","2026-08-07","DS26","new_candidate","SMHI IFCB imaging and annotated reference library","SMHI","https://figshare.scilifelab.se/articles/dataset/Manually_annotated_IFCB_plankton_images_from_the_Skagerrak_Kattegat_and_Baltic_Proper_by_SMHI/25883455","figshare 25883455","Skagerrak and Kattegat and Baltic Proper","public","imaged plankton with manual classifications supporting biovolume","B","external-transfer and temporal-resolution benchmark","pending","","search_summary_only","Data flow into SHARK. R client iRfcb available. Imaged size range and classifier performance require audit."
"MANUAL-20260807T195118Z","2026-08-07","DS27","new_candidate","COSYNA Hereon FerryBox ships of opportunity","Hereon","https://www.hereon.de/institutes/carbon_cycles/cosyna/observations/ferrybox/index.php.en","doi:10.1594/PANGAEA.883824","routes Cuxhaven-Immingham and Buesum-Helgoland and Halden-Zeebrugge-Immingham-Moss; 2002-2005 release published","public","chlorophyll-a fluorescence and phytoplankton group fluorescence and turbidity and oxygen and salinity and temperature","E","timing-blur quantification for monthly networks","pending","","search_summary_only","Fluorescence is not carbon and is subject to photoacclimation and non-photochemical quenching. Surface-only and route-constrained. Related pCO2 series doi:10.1594/PANGAEA.930383."
"MANUAL-20260807T195118Z","2026-08-07","DS28","new_candidate","LifeWatch Belgium HPLC pigment series","VLIZ LifeWatch","https://www.nature.com/articles/s41597-025-06278-w","","Belgian Part of the North Sea reported as monthly since 2002","public","HPLC pigments supporting CHEMTAX group decomposition","E","lifeform comparator and triangulation for DS10","pending","","search_summary_only","CHEMTAX ratios are regionally tuned and non-unique. No direct total-biomass conversion. Coverage statement requires verification against the provider record."
"MANUAL-20260807T195118Z","2026-08-07","DS29","new_candidate","Inner Oslofjord phytoplankton 1896-2020","NIVA","https://pmc.ncbi.nlm.nih.gov/articles/PMC9751269/","doi:10.15468/gugesq","inner Oslofjord principally station Dk1/S1 in Vestfjorden; approximately monthly 2006-2020; 605 sampling events and 22636 records reported","public CC-BY 4.0","cell abundance and biomass in ug C/L for 1994-2020 with gaps and 412 accepted taxa","A","none","excluded","outside_frozen_domain","page_inspected","Inner fjord and therefore outside both the frozen domain and the Skagerrak/Kattegat external-transfer definition. Published title refers to eastern Norway which overstates the spatial scope. Pre-1920 records not comparable."
"MANUAL-20260807T195118Z","2026-08-07","DS30","service","GBIF as an aggregator family","GBIF","https://www.gbif.org/","","global","public","occurrence and sampling-event records","F","discovery and deduplication family","pending","add_to_dedup_rule","search_summary_only","DS23 and Norwegian holdings publish to GBIF and not to EurOBIS. Section 7 deduplication rule must add GBIF."
"MANUAL-20260807T195118Z","2026-08-07","DS31","exclusion","Copernicus Marine In Situ TAC North-West Shelf product","Copernicus Marine In Situ TAC","https://marine.copernicus.eu/about/producers/insitu-tac","INSITU_NWS_PHYBGCWAV_DISCRETE_MYNRT_013_036","North-West Shelf","public","in-situ chlorophyll and oxygen and nutrients","not_applicable","none","excluded","assimilation_dependency","search_summary_only","Superficially ideal and North-West Shelf scoped. Draws on the same chlorophyll streams that inform the ocean-colour chain so it breaches the assimilation boundary in docs/CONTEXT.md. Recorded explicitly as considered and rejected."
"MANUAL-20260807T195118Z","2026-08-07","DS32","exclusion","Harmful Algal Event Database","IOC-UNESCO and ICES and PICES","https://haedat.iode.org/","","ICES area since 1985","public","harmful algal event records","not_applicable","none","excluded","impact_triggered_reporting","search_summary_only","Phaeocystis is systematically under-reported because events rarely carry demonstrable economic impact. Published northern-Europe review identifies only two North Sea Phaeocystis entries. Absence of an entry is not evidence of absence of a bloom so negative windows cannot be defined."
"MANUAL-20260807T195118Z","2026-08-07","DS33","exclusion","PhytoBase and MAREDAT global syntheses","ETH Zurich and others","https://essd.copernicus.org/articles/12/907/2020/","doi:10.1594/PANGAEA.904397","global open ocean","public","occurrence records and gridded functional-type carbon","not_applicable","taxonomy crosswalk and recall aid only","excluded","duplicate_of_held_sources","search_summary_only","Assembled from OBIS and GBIF and CPR and monitoring programmes already in the register. Inclusion would inflate the dataset count with duplicates."
"MANUAL-20260807T195118Z","2026-08-07","DS34","exclusion","BODC NERC Shelf Sea Biogeochemistry cruise and glider holdings","BODC","https://www.bodc.ac.uk/","","campaign-based","public","chlorophyll and nutrients and phytoplankton and primary production","not_applicable","method comparison only","excluded","fails_recurrence_criterion","search_summary_only","Campaign-based rather than recurrent and therefore fails the three-year repeated-observation criterion in section 4.1."
"MANUAL-20260807T195118Z","2026-08-07","DS06","register_refinement","SMHI Kattegat and Skagerrak phytoplankton","SMHI","https://cran.r-project.org/web/packages/SHARK4R/vignettes/retrieve_nordic_microalgae_data.html","","unchanged from section 6","public CC0","carbon in ug C/L derived from biovolume via HELCOM PEG and NOMP lists in addition to biovolume and abundance and chlorophyll","A_or_B","external-transfer primary reference and Stage 1 reference implementation","pending","tier_raised","search_summary_only","Tier raised from B. Programmatic access supported by SHARK4R and iRfcb R clients. Remains an external-transfer region under the frozen Stage 0 assignment."
