"ds_id","name","entry_type","register_section","resolved","registry_rows","retained_rows","sources","canonical_families","geographic_screen_states","availability","rows_open_licence","rows_licence_unverified","rows_contact_required","declared_tier","declared_domain","declared_access","declared_cmems_overlap","planned_role","priority_score","resolution_pattern"
"DS01","PLET harmonized datasets","service","6.1",TRUE,62,62,"PLET",62,"dataset_metadata_indicates_out_of_domain; dataset_metadata_lacks_domain_evidence; dataset_metadata_matches_frozen_domain_terms","partially_open",0,48,14,"not_applicable","core","public","unknown","discovery backbone and harmonized sensitivity",13,"^PLET$"
"DS02","RWS phytoplankton","dataset","6.1",TRUE,1,1,"PLET",1,"dataset_metadata_lacks_domain_evidence","open_route_archived",0,1,0,"C","core","public","yes","primary core if biomass conversion passes",23,"66f557fe4103f"
"DS03","Dutch long-term monitoring","dataset","6.1",TRUE,6,6,"EMODnet Biology WFS; GBIF; OBIS",3,"dataset_metadata_matches_frozen_domain_terms; in_domain_by_server_side_query_geometry","open_route_archived",3,0,0,"C","core","public","partial","primary/core historical extension",22,"Dutch long term monitoring of phytoplankton"
"DS04","BSH phytoplankton","dataset","6.1",TRUE,2,2,"PLET",2,"dataset_metadata_lacks_domain_evidence","open_route_archived",0,2,0,"C","core","public","yes","primary if Tier B/C, else lifeform validation",23,"66f41f3f2a72e"
"DS05","NOVANA phytoplankton","dataset","6.1",TRUE,1,1,"PLET",1,"dataset_metadata_lacks_domain_evidence","open_route_archived",0,1,0,"C","core","public","yes","primary or lifeform validation",23,"66f42801afddd"
"DS06","SMHI Kattegat/Skagerrak","dataset","6.1 and 12.3",TRUE,8,8,"PLET",8,"dataset_metadata_matches_frozen_domain_terms","open_route_archived",0,8,0,"A/B","transition","public","yes","Tier A/B external-transfer reference",25.5,"10.17031/1633"
"DS07","Cefas SmartBuoy","dataset","6.1 and 12.3",TRUE,7,7,"Cefas Data Hub/DASSH; EMODnet Biology WFS; OBIS; PLET",5,"dataset_metadata_lacks_domain_evidence; in_domain_by_server_side_query_geometry","open_route_archived",0,5,0,"C","core","public","yes","Tier C core for eligible North Sea stations",23,"CefasDataHub.58|SmartBuoy Marine Observational Network"
"DS08","Helgoland Roads","dataset","6.1 and 12.3",TRUE,418,417,"GBIF; ICES Figshare; OBIS; PANGAEA",409,"dataset_metadata_matches_frozen_domain_terms; in_domain_by_server_side_query_geometry","partially_open",120,0,289,"A","core_margin","request","unknown","Tier A sentinel; only identified source of lifeform carbon share",23,"PANGAEA.960407|Helgoland Roads"
"DS09","Sylt Roads","dataset","6.1 and 12.3",TRUE,119,92,"EMODnet Biology WFS; GBIF; OBIS; PANGAEA",38,"dataset_metadata_matches_frozen_domain_terms; in_domain_by_server_side_query_geometry","open_route_archived",38,0,0,"D/E","core_margin","public","partial","external coastal sentinel; modern years semi-quantitative",16.5,"Sylt Roads"
"DS10","VLIZ LifeWatch FlowCam","dataset","6.1 and 12.3",TRUE,1,1,"OBIS",1,"in_domain_by_server_side_query_geometry","open_route_archived",1,0,0,"D","core","public","yes","large-cell lifeform validation; 55 um lower bound",20,"956d618f-91dc-4930-a253-cdf80ddb9371|10.14284/760"
"DS11","PLET chlorophyll companions","dataset_group","6.1",TRUE,145,124,"Cefas Data Hub/DASSH; EMODnet Biology WFS; EMODnet ERDDAP; GBIF; ICES Figshare; Marine Scotland; OBIS; PANGAEA; PLET",123,"dataset_metadata_indicates_out_of_domain; dataset_metadata_lacks_domain_evidence; dataset_metadata_matches_frozen_domain_terms; in_domain_by_server_side_query_geometry","partially_open",18,104,1,"E","core","public","yes","secondary comparator only",17,"chlorophyll|chla|_Cla"
"DS12","Continuous Plankton Recorder","dataset","6.2",TRUE,6,3,"EMODnet Biology WFS; ICES Figshare; OBIS",3,"dataset_metadata_lacks_domain_evidence; in_domain_by_server_side_query_geometry","open_route_archived",2,1,0,"D/E","basin_scale","request","yes","only identified offshore evidence; coarse recurrence corroboration",11.5,"Continuous Plankton Recorder"
"DS13","ICES DOME phytoplankton","service","6.2",TRUE,1,1,"ICES DOME",1,"dataset_metadata_lacks_domain_evidence","open_route_archived",1,0,0,"C","core","public","unknown","discovery, deduplication, gap filling",22,"^ICES DOME$"
"DS14","EMODnet Biology and EurOBIS","service","6.2",TRUE,1898,534,"EMODnet Biology WFS; EMODnet ERDDAP; OBIS",502,"dataset_metadata_indicates_out_of_domain; dataset_metadata_lacks_domain_evidence; dataset_metadata_matches_frozen_domain_terms; in_domain_by_server_side_query_geometry","open_route_archived",246,256,0,"D","core","public","unknown","dataset discovery and raw-record completion",19,"^(OBIS|EMODnet ERDDAP|EMODnet Biology WFS)$"
"DS15","EMODnet presence/absence product","dataset","6.2",TRUE,1,1,"EMODnet ERDDAP",1,"dataset_metadata_matches_frozen_domain_terms","open_route_archived",0,1,0,"not_applicable","core","public","unknown","coverage map and exploratory sensitivity only",13,"biology_6587_phyto_north_sea"
"DS16","Scottish Coastal Observatory Stonehaven","dataset","6.2 and 12.3",TRUE,4,3,"Marine Scotland; PLET",3,"dataset_metadata_lacks_domain_evidence","open_route_archived",0,3,0,"C","core_margin","public","partial","external-transfer validation; flow cytometry addresses pico/nano gap",21,"Stonehaven"
"DS17","LLUR Schleswig-Holstein","dataset","6.3",TRUE,1,1,"PLET",1,"dataset_metadata_lacks_domain_evidence","contact_required",0,0,1,"C","core_margin","request","yes","fills German coastal Phaeocystis gap",18,"OSPAR_LLUR-SH"
"DS18","NLWKN Lower Saxony","dataset","6.3",TRUE,2,2,"PLET",2,"dataset_metadata_lacks_domain_evidence","contact_required",0,0,2,"C","core_margin","request","yes","long Lower Saxony coastal record",18,"OSPAR_NLWKN"
"DS19","Norwegian IMR Ecosystem Survey","dataset","6.3",TRUE,1,0,"ICES Figshare",0,"","no_route",0,0,0,"C","core","request","yes","northern offshore coverage; reported to lack an analyzable database",19,"Institute of Marine Research|Havforskningsinstituttet|IMR North Sea Ecosystem"
"DS20","Norwegian coastal and Torungen-Hirtshals","dataset","6.3",FALSE,0,0,"",0,"","no_route",0,0,0,"D","transition","request","unknown","Skagerrak and Norwegian inflow gap",13,"Torungen"
"DS21","Cefas Ferrybox flow cytometry","dataset","6.3",FALSE,0,0,"",0,"","no_route",0,0,0,"D","core","unreleased","partial","small functional groups; excluded until released",13,"Ferrybox.*cytometr|cytometr.*Ferrybox"
"DS22","HELCOM PEG_BVOL conversion authority","conversion_reference","12.2",TRUE,1,1,"ICES Figshare",1,"dataset_metadata_matches_frozen_domain_terms","open_route_archived",0,1,0,"not_applicable","core","public","no","conversion authority for every Tier C carbon estimate",12,"PEG_BVOL"
"DS23","NIOZ Wadden Sea phytoplankton","dataset","12.2",TRUE,1,1,"GBIF",1,"dataset_metadata_matches_frozen_domain_terms","open_route_archived",1,0,0,"C","core_margin","public","yes","external coastal sentinel; duplicate check against DS02/DS03",22,"okwkou|1d276c75-d90c-40c8-973d-2eac7c8089e5"
"DS24","OSPAR COMP4 COMPEAT inputs","dataset","12.2",TRUE,1,1,"ICES Figshare",1,"dataset_metadata_lacks_domain_evidence","open_route_archived",1,0,0,"E","core","public","partial","Tier E comparator and non-PhyC baseline candidate",16,"22189111"
"DS25","EMODnet Chemistry eutrophication product","service","12.2",TRUE,42,42,"Cefas Data Hub/DASSH; EMODnet Biology WFS; GBIF; ICES Figshare; OBIS",36,"dataset_metadata_lacks_domain_evidence; dataset_metadata_matches_frozen_domain_terms; in_domain_by_server_side_query_geometry","open_route_archived",3,33,0,"E","core","public_unverified","yes","Tier E comparator; independence from assimilation chain must be established",15,"EMODnet Chemistry|eutrophication"
"DS26","SMHI IFCB imaging","dataset","12.2",TRUE,9,8,"EMODnet Biology WFS; GBIF; OBIS",7,"dataset_metadata_lacks_domain_evidence; dataset_metadata_matches_frozen_domain_terms; in_domain_by_server_side_query_geometry","open_route_archived",7,0,0,"B","transition","public","yes","Tier B external-transfer and temporal-resolution benchmark",24,"Imaging Flow Cytobot|IFCB"
"DS27","COSYNA/Hereon FerryBox","dataset","12.2",TRUE,14,9,"Cefas Data Hub/DASSH; EMODnet Biology WFS; GBIF; ICES Figshare; PANGAEA; SMHI SHARK",9,"dataset_metadata_lacks_domain_evidence; dataset_metadata_matches_frozen_domain_terms","open_route_archived",1,8,0,"E","core","public","partial","Tier E; quantify timing blur introduced by monthly networks",16,"FerryBox|COSYNA"
"DS28","LifeWatch Belgium HPLC pigments","dataset","12.2",TRUE,26,26,"Cefas Data Hub/DASSH; ICES Figshare; Marine Scotland; PANGAEA",26,"dataset_metadata_lacks_domain_evidence; dataset_metadata_matches_frozen_domain_terms","open_route_archived",13,13,0,"E","core","public_unverified","yes","Tier E lifeform comparator and triangulation for DS10",15,"HPLC|CHEMTAX|pigment"
"DS29","Inner Oslofjord phytoplankton","dataset","12.2",TRUE,2,1,"GBIF; ICES Figshare",1,"dataset_metadata_lacks_domain_evidence","open_route_archived",1,0,0,"A","out_of_domain","public","yes","not eligible under 4.4; documented out-of-domain assessment only",23,"gugesq|Oslofjord"
"DS30","GBIF aggregator family","service","12.2",TRUE,5906,5906,"GBIF",5888,"dataset_metadata_indicates_out_of_domain; dataset_metadata_lacks_domain_evidence; dataset_metadata_matches_frozen_domain_terms","open_route_archived",5780,108,0,"not_applicable","core","public","unknown","discovery and deduplication family",13,"^GBIF$"
