"benchmark_id","description","pattern","found","matched_source","matched_provider_dataset_id","screening_status","canonical_provider_dataset_id","raw_response_path","raw_response_checksum_sha256"
"DS02","RWS phytoplankton","66f557fe4103f",TRUE,"PLET","RWS_Fpzout_2000-2019_phyto","pending","PLET:RWS_Fpzout_2000-2019_phyto","search_runs/SEARCH-PLET-20260808T105059Z/catalogue.html","369b7ab7a475c4c25a18149e8a4e3e35138b0ad8ef49007eeda23b89f9b4a616"
"DS03","Dutch long-term monitoring","Dutch long term monitoring of phytoplankton",TRUE,"OBIS","3c1de937-e3b2-45ee-aa74-2c74f958d72d","pending","OBIS:3c1de937-e3b2-45ee-aa74-2c74f958d72d","search_runs/SEARCH-OBIS-20260808T105125Z/taxon_01.json","8ad6c80088e06e9e3c69589e547f090a4c168ef4e35c1151f778bce2cd39629c"
"DS04","BSH phytoplankton","66f41f3f2a72e",TRUE,"PLET","BSH_Phyto_Zoo","pending","PLET:BSH_Phyto_Zoo","search_runs/SEARCH-PLET-20260808T105059Z/catalogue.html","369b7ab7a475c4c25a18149e8a4e3e35138b0ad8ef49007eeda23b89f9b4a616"
"DS05","NOVANA phytoplankton","66f42801afddd",TRUE,"PLET","NOVANA phytoplankton","pending","PLET:NOVANA phytoplankton","search_runs/SEARCH-PLET-20260808T105059Z/catalogue.html","369b7ab7a475c4c25a18149e8a4e3e35138b0ad8ef49007eeda23b89f9b4a616"
"DS06","SMHI Kattegat/Skagerrak","10.17031/1633",TRUE,"PLET","National data_SMHI_Kattegat-Dnr: S/Gbg-2021_116/BVOL_phyto","pending","PLET:National data_SMHI_Kattegat-Dnr: S/Gbg-2021_116/BVOL_phyto","search_runs/SEARCH-PLET-20260808T105059Z/catalogue.html","369b7ab7a475c4c25a18149e8a4e3e35138b0ad8ef49007eeda23b89f9b4a616"
"DS07","Cefas SmartBuoy","CefasDataHub.58",TRUE,"PLET","Cefas SmartBuoy Marine Observational Network - UK Waters Phytoplankton Data 2001-2019","pending","PLET:Cefas SmartBuoy Marine Observational Network - UK Waters Phytoplankton Data 2001-2019","search_runs/SEARCH-PLET-20260808T105059Z/catalogue.html","369b7ab7a475c4c25a18149e8a4e3e35138b0ad8ef49007eeda23b89f9b4a616"
"DS08","Helgoland Roads","PANGAEA.960407",TRUE,"PANGAEA","862911","pending","PANGAEA:862911","search_runs/SEARCH-PANGAEA-20260808T105207Z/response_page_0001.json","583eb8a0984a6b234bde5f4abdde6c397a76fd0c5a4313bd09378aae4ef21360"
"DS09","Sylt Roads","Sylt Roads",TRUE,"OBIS","384e54a5-0f08-4046-acba-89573ad35dcf","pending","PANGAEA:860418","search_runs/SEARCH-OBIS-20260808T105125Z/taxon_01.json","8ad6c80088e06e9e3c69589e547f090a4c168ef4e35c1151f778bce2cd39629c"
"DS10","VLIZ LifeWatch FlowCam","956d618f-91dc-4930-a253-cdf80ddb9371|10.14284/760",TRUE,"OBIS","956d618f-91dc-4930-a253-cdf80ddb9371","pending","OBIS:956d618f-91dc-4930-a253-cdf80ddb9371","search_runs/SEARCH-OBIS-20260808T105125Z/taxon_02.json","8a9c2e7a076f2a40cc2fbb143b94df3c9b9973e2bf99f81d32c90a73b0a41144"
"DS12","Continuous Plankton Recorder","Continuous Plankton Recorder",TRUE,"OBIS","5945583a-482c-4d14-8da8-780e45588663","pending","OBIS:5945583a-482c-4d14-8da8-780e45588663","search_runs/SEARCH-OBIS-20260808T105125Z/taxon_01.json","8ad6c80088e06e9e3c69589e547f090a4c168ef4e35c1151f778bce2cd39629c"
"DS16","Stonehaven Observatory","Stonehaven",TRUE,"PLET","MSS Stonehaven Chlorophyll data","pending","PLET:MSS Stonehaven Chlorophyll data","search_runs/SEARCH-PLET-20260808T105059Z/catalogue.html","369b7ab7a475c4c25a18149e8a4e3e35138b0ad8ef49007eeda23b89f9b4a616"
"DS17","LLUR Schleswig-Holstein (restricted)","OSPAR_LLUR-SH",TRUE,"PLET","OSPAR_LLUR-SH_2010-2020","pending","PLET:OSPAR_LLUR-SH_2010-2020","search_runs/SEARCH-PLET-20260808T105059Z/catalogue.html","369b7ab7a475c4c25a18149e8a4e3e35138b0ad8ef49007eeda23b89f9b4a616"
"DS18","NLWKN Lower Saxony (restricted)","OSPAR_NLWKN",TRUE,"PLET","OSPAR_NLWKN_1999-19_phyto","pending","PLET:OSPAR_NLWKN_1999-19_phyto","search_runs/SEARCH-PLET-20260808T105059Z/catalogue.html","369b7ab7a475c4c25a18149e8a4e3e35138b0ad8ef49007eeda23b89f9b4a616"
"DS23","NIOZ Wadden Sea phytoplankton","okwkou|1d276c75-d90c-40c8-973d-2eac7c8089e5",TRUE,"GBIF","1d276c75-d90c-40c8-973d-2eac7c8089e5","pending","GBIF:1d276c75-d90c-40c8-973d-2eac7c8089e5","search_runs/SEARCH-GBIF-20260808T105223Z/query_001_page_0001.json","55b3dc71a5cffde930739b331b34c2cf54f972d3fa98fded210a6998916dfa5e"
