"metadata_id","biotaxon_code","biotaxon_description","compartment_code","compartment_description","unit_code","unit_description","quantity_code","quantity_description","condition_code","condition_description","organ_code","organ_description","parameter_code","parameter_description","reported_description","process_type","typing_code","value_processing_method_code","domain_location_present","explicit_marine_phytoplankton_signal","count_or_biovolume_signal"
1,"NVT","NVT","OW","Oppervlaktewater","cm2","vierkante centimeter","50%_L","50 percentiel van de levendigheid","NVT","NVT","NVT","NVT","NVT","NVT","Percentielen per etmaal Levendigheid 50 percentiel van de levendigheid in Oppervlaktewater in cm2","meting","LEVDHD","other:%24H",TRUE,FALSE,FALSE
2,"NVT","NVT","OW","Oppervlaktewater","cm2","vierkante centimeter","70%_L","70 percentiel van de levendigheid","NVT","NVT","NVT","NVT","NVT","NVT","Percentielen per etmaal Levendigheid 70 percentiel van de levendigheid in Oppervlaktewater in cm2","meting","LEVDHD","other:%24H",TRUE,FALSE,FALSE
3,"NVT","NVT","OW","Oppervlaktewater","cm2","vierkante centimeter","80%_L","80 percentiel van de levendigheid","NVT","NVT","NVT","NVT","NVT","NVT","Percentielen per etmaal Levendigheid 80 percentiel van de levendigheid in Oppervlaktewater in cm2","meting","LEVDHD","other:%24H",TRUE,FALSE,FALSE
4,"NVT","NVT","OW","Oppervlaktewater","cm2","vierkante centimeter","90%_L","90 percentiel van de levendigheid","NVT","NVT","NVT","NVT","NVT","NVT","Percentielen per etmaal Levendigheid 90 percentiel van de levendigheid in Oppervlaktewater in cm2","meting","LEVDHD","other:%24H",TRUE,FALSE,FALSE
5,"Fulmarus glacialis","Fulmarus glacialis","OE","Organisme (biota)","DIMSLS","dimensieloos","AANTL","Aantal","NVT","NVT","MG","Maag","OSPAR_PLAIND","Plastic deeltjes, herkomst industrie (plastic granulaat)","Aantal Plastic deeltjes, herkomst industrie (plastic granulaat) in Organisme (biota) in Maag Fulmarus glacialis","meting","NVT","NVT",TRUE,FALSE,FALSE
6,"Fulmarus glacialis","Fulmarus glacialis","OE","Organisme (biota)","DIMSLS","dimensieloos","AANTL","Aantal","NVT","NVT","MG","Maag","OSPAR_PLAUSE","Plastic deeltjes, herkomst consument","Aantal Plastic deeltjes, herkomst consument in Organisme (biota) in Maag Fulmarus glacialis","meting","NVT","NVT",TRUE,FALSE,FALSE
7,"NVT","NVT","NT","Niet van toepassing","n","exemplaren","AANTL","Aantal","NVT","NVT","NVT","NVT","NVT","NVT","Aantal in n","meting","NVT","NVT",TRUE,FALSE,FALSE
8,"Haematopus ostralegus","Haematopus ostralegus","OE","Organisme (biota)","n","exemplaren","AANTL","Aantal","LS-EI","Levensstadium-Ei","NVT","NVT","NVT","NVT","Aantal in Organisme (biota) Levensstadium-Ei in Haematopus ostralegus n","meting","NVT","NVT",TRUE,FALSE,FALSE
9,"Sterna hirundo","Sterna hirundo","OE","Organisme (biota)","n","exemplaren","AANTL","Aantal","LS-EI","Levensstadium-Ei","NVT","NVT","NVT","NVT","Aantal in Organisme (biota) Levensstadium-Ei in Sterna hirundo n","meting","NVT","NVT",TRUE,FALSE,FALSE
10,"Littorina littorea","Littorina littorea","OE","Organisme (biota)","n","exemplaren","AANTL","Aantal","NVT","NVT","NVT","NVT","NVT","NVT","Aantal in Organisme (biota) in Littorina littorea n","meting","NVT","NVT",TRUE,FALSE,FALSE
11,"Nassarius reticulatus","Nassarius reticulatus","OE","Organisme (biota)","n","exemplaren","AANTL","Aantal","NVT","NVT","NVT","NVT","NVT","NVT","Aantal in Organisme (biota) in Nassarius reticulatus n","meting","NVT","NVT",TRUE,FALSE,FALSE
12,"Nucella lapillus","Nucella lapillus","OE","Organisme (biota)","n","exemplaren","AANTL","Aantal","NVT","NVT","NVT","NVT","NVT","NVT","Aantal in Organisme (biota) in Nucella lapillus n","meting","NVT","NVT",TRUE,FALSE,FALSE
13,"Platichthys flesus","Platichthys flesus","OE","Organisme (biota)","n","exemplaren","AANTL","Aantal","NVT","NVT","NVT","NVT","NVT","NVT","Aantal in Organisme (biota) in Platichthys flesus n","meting","NVT","NVT",TRUE,FALSE,FALSE
14,"Rutilus rutilus","Rutilus rutilus","OE","Organisme (biota)","n","exemplaren","AANTL","Aantal","NVT","NVT","NVT","NVT","NVT","NVT","Aantal in Organisme (biota) in Rutilus rutilus n","meting","NVT","NVT",TRUE,FALSE,FALSE
15,"NVT","NVT","OW","Oppervlaktewater","n","exemplaren","AANTL","Aantal","NVT","NVT","NVT","NVT","BADGT","Badgast","Aantal Badgast in Oppervlaktewater in n","meting","NVT","NVT",TRUE,FALSE,FALSE
16,"Bithynia","Bithynia","OW","Oppervlaktewater","n","exemplaren","AANTL","Aantal","NVT","NVT","NVT","NVT","NVT","NVT","Aantal in Oppervlaktewater in Bithynia n","meting","NVT","NVT",FALSE,FALSE,FALSE
