"provider_taxon_id","scientific_name","occurrence_rows"
"13","Copepoda",193288
"43","Calanus",149117
"88","Euphausiacea",119939
"3","Calanoida",114857
"12","Calanus",97780
"100","Phytoplankton colour",92834
"1","Calanus",92150
"40","Calanus finmarchicus",90863
"121","Ceratium fusus",79589
"89","Chaetognatha",75430
"10","Oithona spp.",69762
"82","Hyperiidea",68793
"5","Acartia",66676
"103","Thalassiosira spp.",61794
"41","Calanus helgolandicus",60870
"113","Chaetoceros (Phaeoceros) spp.",59428
"10589","Cnidaria",56001
"83","Decapoda",55605
"6","Centropages typicus",51952
"354","Foraminifera",50835
"10673","Thecosomata",48832
"112","Chaetoceros (Hyalochaete) spp.",48324
"122","Ceratium furca",48072
"124","Ceratium tripos",46486
"55","Metridia lucens",46236
"4","Temora longicornis",45649
"10031","Appendicularia",41075
"198","Silicoflagellida",40194
"326","Copepoda",38001
"117","Thalassionema nitzschioides",37344
"91","Actinopterygii ",36612
"10742","Pseudocalanus",36040
"10671","Tintinnida",35266
"34","Chaetognatha",34220
"125","Ceratium macroceros",33251
"36","Echinodermata",32710
"255","Protoperidinium spp.",32011
"347","Copepoda",30406
"86","Euphausiacea",29534
"126","Ceratium horridum",28038
"116","Thalassiothrix longissima",25276
"1000","Proboscia alata",24282
"107","Rhizosolenia styliformis",24045
"355","Radiolaria",22651
"10623","Pseudo-nitzschia delicatissima",22271
"195","Coccolithaceae",22078
"10624","Pseudo-nitzschia seriata",21941
"31","Evadne spp.",21085
"127","Ceratium longipes",20847
"9","Clausocalanus spp.",19799
"108","Rhizosolenia hebetata f. semispina",18830
"101","Paralia sulcata",18711
"123","Ceratium lineatum",18021
"87","Euphausiacea",17796
"10532","Cnidaria",16823
"10605","Paraeuchaeta norvegica",16060
"30","Podon spp.",14993
"166","Coscinodiscus",14852
"251","Dinophysis",14312
"90","Actinopterygii ",13958
"10684","Rhizosolenia imbricata",13708
"130","Dinophyceae",13175
"114","Odontella sinensis",11911
"7","Centropages hamatus",11078
"1001","Leptocylindrus mediterraneus",10999
"10590","Bivalvia larvae",10978
"128","Ceratium arcticum",10594
"11","Corycaeus spp.",10492
"315","Metridia",9914
"57","Pleuromamma robusta",9896
"61","Candacia armata",9247
"81","Gammaridea",9201
"35","Bryozoa",9028
"350","Cirripedia ",8517
"59","Pleuromamma borealis",8427
"351","Euphausiacea",7704
"452","Siphonophora",7620
"134","Dictyocysta spp.",7524
"469","Thaliacea",7482
"253","Gonyaulax spp.",7461
"47","Nannocalanus minor",7407
"60","Pleuromamma gracilis",7126
"80","Tomopteris spp.",6748
"306","Harpacticoida",6747
"10620","Prorocentrum",6485
"317","Oncaea spp.",6353
"1610","Plastic",6167
"1608","Acantharea spp",6096
"102","Skeletonema costatum",6072
"10683","Rhizosolenia indica",6029
"10701","Nematocyst field counts (phyto)",5844
"10606","Euchaetidae",5812
"232","Ceratium hexacanthum",5723
"1002","Proboscia inermis",5337
"176","Navicula spp.",5275
"434","Pleuromamma",5173
"10714","Plastic Total (trial)",5041
"154","Bacteriastrum spp.",4895
"133","Polykrikos schwartzii",4845
"459","Ostracoda",4801
"314","Metridia",4723
"10604","Paraeuchaeta hebes",4702
"1628","Paracalanus spp.",4658
"1609","Radiolaria",4642
"58","Pleuromamma abdominalis",4642
"950","Scrippsiella spp.",4629
"135","Parafavella gigantea",4486
"84","Clione limacina",4466
"170","Fragilaria spp.",4364
"10615","Asterionellopsis glacialis",4351
"177","Cylindrotheca closterium",4334
"460","Echinodermata",4272
"38","Cladocera",4257
"10681","Corethron hystrix",4185
"10751","",4060
"259","Prorocentrum",4042
"56","Metridia longa",3930
"168","Ditylum brightwellii",3851
"10754","Pseudo-nitzschia",3676
"197","Halosphaera spp.",3647
"45","Neocalanus gracilis",3603
"10510","Emiliania huxleyi type",3549
"321","Scolecithricella spp.",3506
"450","Polychaeta",3493
"1563","Neocalanus plumchrus",3402
"10634","Guinardia striata",3360
"10566","",3343
"157","Odontella aurita",3338
"165","Coscinodiscus concinnus",3234
"1556","Calanus pacificus",3185
"10642","",3179
"750","Noctiluca scintillans",3178
"237","Ceratium massiliense",3156
"254","Oxytoxum spp.",3147
"10573","Fish eggs without oil globules",3132
"42","Calanus glacialis",3128
"431","Centropages",3082
"1559","Metridia pacifica",3040
"455","Sergestidae",2836
"419","Undeuchaeta plumosa",2774
"454","Cumacea",2761
"53","Euchaeta acuta",2752
"172","Gyrosigma spp.",2748
"977","Salpidae",2717
"411","Pleuromamma piseki",2664
"10717","Plastic strand blue",2588
"1562","Neocalanus plumchrus",2519
"458","Mysidacea",2516
"805","Tintinnopsis spp.",2451
"1568","Neodenticula seminae",2443
"44","Calanus hyperboreus",2440
"10641","Lauderia annulata",2421
"10546","Parafavella spp.",2388
"247","Ceratium trichoceros",2311
"1554","Neocalanus plumchrus",2286
"303","Candacia",2259
"104","Dactyliosolen antarcticus",2219
"1588","Thecosomata",2210
"51","Euchirella rostrata",2188
"160","Odontella regia",2175
"1567","Neocalanus cristatus",2163
"814","Stellate body (Land plant hair)",2146
"976","Coscinodiscus wailesii",2146
"10569","Decapod zoea",2123
"978","Doliolidae",2028
"1581","Neocalanus plumchrus",2009
"10513","Coccolithus pelagicus",2001
"238","Ceratium minutum",1990
"1555","Calanus marshallae",1962
"10625","Trichodesmium spp.",1905
"327","Acartia longiremis",1887
"312","Lucicutia spp.",1864
"50","Rhincalanus nasutus",1822
"10680","Vibrio paxillifer",1814
"48","Calanoides carinatus",1775
"10535","Cirripede nauplii",1758
"155","Bellerochea malleus",1755
"194","Phaeocystis pouchetii",1738
"1602","Dinophysis acuta",1722
"240","Ceratium pentagonum",1714
"63","Labidocera wollastoni",1621
