"raw_relative_path","table_name","column_name","storage_type","reported_unit","semantic_role","missing_value_codes","quality_flag_meaning","example_values","inventory_state"
"stage2/ds26_smhi_ifcb/DS26_SMHI_IFCB_20260808T195600Z/shark_planktonimaging_dwca.zip","event.txt","id","character","","identifier","blank","","DATASET_EVENT-1|D20160810T104734_IFCB110|97d3585578fa4d5fa638f8e51e2559a3","present"
"stage2/ds26_smhi_ifcb/DS26_SMHI_IFCB_20260808T195600Z/shark_planktonimaging_dwca.zip","event.txt","license","character","","provenance_or_context","blank","","CC0","present"
"stage2/ds26_smhi_ifcb/DS26_SMHI_IFCB_20260808T195600Z/shark_planktonimaging_dwca.zip","event.txt","rightsHolder","character","","provenance_or_context","blank","","Swedish Agency for Marine and Water Management","present"
"stage2/ds26_smhi_ifcb/DS26_SMHI_IFCB_20260808T195600Z/shark_planktonimaging_dwca.zip","event.txt","accessRights","character","","provenance_or_context","blank","","CC0","present"
"stage2/ds26_smhi_ifcb/DS26_SMHI_IFCB_20260808T195600Z/shark_planktonimaging_dwca.zip","event.txt","institutionID","character","","provenance_or_context","blank","","https://edmo.seadatanet.org/report/545","present"
"stage2/ds26_smhi_ifcb/DS26_SMHI_IFCB_20260808T195600Z/shark_planktonimaging_dwca.zip","event.txt","institutionCode","character","","provenance_or_context","blank","","Swedish Meteorological and Hydrological Institute","present"
"stage2/ds26_smhi_ifcb/DS26_SMHI_IFCB_20260808T195600Z/shark_planktonimaging_dwca.zip","event.txt","datasetName","character","","provenance_or_context","blank","","SHARK - Phyto- and Microzooplankton Data Collected by Imaging FlowCytobots (IFCB) in Swedish and Adjacent Waters","present"
"stage2/ds26_smhi_ifcb/DS26_SMHI_IFCB_20260808T195600Z/shark_planktonimaging_dwca.zip","event.txt","ownerInstitutionCode","character","","provenance_or_context","blank","","Swedish Agency for Marine and Water Management","present"
"stage2/ds26_smhi_ifcb/DS26_SMHI_IFCB_20260808T195600Z/shark_planktonimaging_dwca.zip","event.txt","dynamicProperties","character","","provenance_or_context","blank","","SharkDataset: SHARK_PlanktonImaging_2016_SMHI_Tangesund|SharkDataset: SHARK_PlanktonImaging_2022_2024_SMHI_Baltic|SharkDataset: SHARK_PlanktonImaging_2022_2024_SMHI_Skagerrak_Kattegat","present"
"stage2/ds26_smhi_ifcb/DS26_SMHI_IFCB_20260808T195600Z/shark_planktonimaging_dwca.zip","event.txt","eventID","character","","identifier","blank","","DATASET_EVENT-1|D20160810T104734_IFCB110|97d3585578fa4d5fa638f8e51e2559a3","present"
