"file_name","raw_relative_path","source_rows","valid_coordinate_rows","valid_time_rows","chlorophyll_present_rows","qc_eligible_chlorophyll_rows","usable_secondary_rows","core_usable_rows","external_transfer_usable_rows","outside_domain_usable_rows","invalid_coordinate_usable_rows","first_datetime_utc","last_datetime_utc"
"HZG-Ferrybox_Harw-CuxNR8038.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR8038.nc",5643,5643,5643,5643,5643,5643,5643,0,0,0,"2002-03-01T15:55:15Z","2002-03-02T07:39:25Z"
"HZG-Ferrybox_Cux-HarwNR8058.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8058.nc",5661,5661,5661,5661,5661,5661,5661,0,0,0,"2002-03-02T16:51:45Z","2002-03-03T08:44:54Z"
"HZG-Ferrybox_Cux-HarwNR8098.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8098.nc",5708,5708,5708,5708,5708,5708,5708,0,0,0,"2002-03-05T16:47:04Z","2002-03-06T08:40:25Z"
"HZG-Ferrybox_Harw-CuxNR8118.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR8118.nc",5692,5692,5692,5692,5692,5692,5692,0,0,0,"2002-03-06T15:32:25Z","2002-03-07T07:20:54Z"
"HZG-Ferrybox_Cux-HarwNR8138.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8138.nc",5917,5917,5917,5917,5917,5917,5917,0,0,0,"2002-03-07T16:48:35Z","2002-03-08T09:14:34Z"
"HZG-Ferrybox_Cux-HarwNR8158.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8158.nc",1371,1371,1371,1342,1342,1342,1342,0,0,0,"2002-03-11T16:40:25Z","2002-03-11T20:28:44Z"
"HZG-Ferrybox_Harw-CuxNR8178.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR8178.nc",5679,5679,5679,5679,5679,5679,5679,0,0,0,"2002-03-12T15:32:15Z","2002-03-13T07:18:36Z"
"HZG-Ferrybox_Cux-HarwNR8198.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8198.nc",5603,5603,5603,5603,5603,5603,5603,0,0,0,"2002-03-13T17:22:06Z","2002-03-14T08:59:24Z"
"HZG-Ferrybox_Harw-CuxNR8218.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR8218.nc",6146,6146,6146,6146,6146,6146,6146,0,0,0,"2002-03-14T15:32:36Z","2002-03-15T08:36:45Z"
"HZG-Ferrybox_Cux-HarwNR8238.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8238.nc",3551,3551,3551,3551,3551,3551,3551,0,0,0,"2002-03-15T16:48:54Z","2002-03-16T02:40:33Z"
