"work_item_id","wfs_dataset_id","domain_bbox_records","exact_domain_records","boundary_touch_records","core_domain_records","external_transfer_records","exact_unique_positions","earliest_record_datetime","latest_record_datetime","minimum_longitude","maximum_longitude","minimum_latitude","maximum_latitude","institution_codes","active_run_relative_path"
"EMODNET-WFS:1941","1941",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:2453","2453",91148,91148,0,0,91148,27,"1986-01-22T00:00:00Z","2023-12-16T00:00:00Z",10.5133,12.2117,56.6666,58.86833,"Swedish Meteorological and Hydrological Institute","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:2464","2464",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:3163","3163",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:4405","4405",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:4458","4458",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:4459","4459",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:4461","4461",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:4465","4465",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:4466","4466",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:4471","4471",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:4474","4474",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:4480","4480",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:4667","4667",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:5718","5718",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:5735","5735",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:5737","5737",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:5740","5740",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:5743","5743",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:5951","5951",71,71,0,71,0,1,"1995-02-01T00:00:00Z","1996-07-01T00:00:00Z",2.80833333,2.80833333,51.43333333,51.43333333,"RBINS-OD Nature","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:5996","5996",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:6452","6452",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:6453","6453",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:6463","6463",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:6464","6464",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
"EMODNET-WFS:6465","6465",0,0,0,0,0,0,"","",,,,,"","stage2/emodnet_wfs_geometry/20260808T183226Z"
