"location_id","location_code","location_name","location_description","reported_crs","reported_latitude","reported_longitude","longitude","latitude","domain_state","subregion_id"
10603,"4epetroleumhaven","4e Petroleumhaven","4e Petroleumhaven","ETRS89",51.953524,4.140491,4.140491,51.953524,"outside_domain",
17056,"7epetroleumhaven","7e Petroleumhaven","7e Petroleumhaven","ETRS89",51.915615,4.21277,4.21277,51.915615,"outside_domain",
3627,"a12","A12 platform","A12 platform","ETRS89",55.383333,3.8,3.8,55.383333,"core","southern_and_central_north_sea"
11036,"aadorp","Aadorp","Aadorp","ETRS89",52.3726,6.6333,6.6333,52.3726,"outside_domain",
2303,"aa.helmond","Aa, Helmond","Aa, Helmond","ETRS89",51.488763,5.682549,5.682549,51.488763,"outside_domain",
4998,"aakvlaai.badstrand","Aakvlaai, badstrand","Aakvlaai, badstrand","ETRS89",51.723572,4.864773,4.864773,51.723572,"outside_domain",
9707,"aakvlaai.badstrand.2","Aakvlaai, badstrand, 2","Aakvlaai, badstrand, 2","ETRS89",51.723234,4.869669,4.869669,51.723234,"outside_domain",
11211,"aakvlaai.badstrand.3","Aakvlaai, badstrand, 3","Aakvlaai, badstrand, 3","ETRS89",51.726773,4.866994,4.866994,51.726773,"outside_domain",
11289,"aakvlaai.badstrand.4","Aakvlaai, badstrand, 4","Aakvlaai, badstrand, 4","ETRS89",51.725984,4.863472,4.863472,51.725984,"outside_domain",
10425,"aalst.deneswaarden","Aalst, De Neswaarden","Aalst, De Neswaarden","ETRS89",51.785668,5.115173,5.115173,51.785668,"outside_domain",
10980,"aalst.derietschoof.1","Aalst, De Rietschoof, meetpunt 1","strand","ETRS89",51.77674,5.125978,5.125978,51.77674,"outside_domain",
819,"aalst.derietschoof.2","Aalst, De Rietschoof, meetpunt 2","haven","ETRS89",51.776312,5.127676,5.127676,51.776312,"outside_domain",
1494,"aalst.waterspeelplaatsdeneswaarden","Aalst, Waterspeelplaats De Neswaarden","Aalst, Waterspeelplaats De Neswaarden","ETRS89",51.785477,5.114232,5.114232,51.785477,"outside_domain",
11735,"aardappelengat.west.2","Aardappelengat, west, punt 02","Aardappelengat, west, punt 02","ETRS89",51.782566,4.160885,4.160885,51.782566,"core","southern_and_central_north_sea"
