"provider_dataset_id","provider_version","raw_relative_path","source_rows","unique_sample_ids","unique_dates","earliest_date","latest_date","unique_stations","core_rows","external_transfer_rows","outside_domain_rows","carbon_rows","biovolume_rows","abundance_or_count_rows","method_metadata_rows","parameters","units"
"SHARK_Phytoplankton_1986_2007_SMHI_natdata_planktondb","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_1986_2007_SMHI_natdata_planktondb_version_2025-03-09.zip",576,4,4,"2007-02-05","2007-12-13",2,0,576,0,0,192,384,576,"# counted|Abundance|Biovolume concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l"
"SHARK_Phytoplankton_1994_1996_SMHI_Anholt","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_1994_1996_SMHI_Anholt_version_2025-03-09.zip",404,9,9,"1994-04-12","1996-11-05",1,0,404,0,0,202,202,0,"Abundance|Biovolume concentration","ind/l or 100 um pieces/l|mm3/l"
"SHARK_Phytoplankton_1995_2001_UMSC","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_1995_2001_UMSC_version_2025-03-09.zip",6628,201,196,"1995-01-10","2001-12-06",4,0,0,6628,0,3311,3317,6628,"Abundance|Biovolume concentration","ind/l or 100 um pieces/l|mm3/l"
"SHARK_Phytoplankton_1997_SMHI_Anholt","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_1997_SMHI_Anholt_version_2025-03-09.zip",1392,18,18,"1997-01-25","1997-12-16",1,0,1392,0,0,464,928,1392,"# counted|Abundance|Biovolume concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l"
"SHARK_Phytoplankton_1999_SUSE","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_1999_SUSE_version_2025-03-09.zip",2617,34,23,"1999-02-24","1999-12-14",3,0,0,2617,0,1295,1322,2617,"Abundance|Biovolume concentration","ind/l or 100 um pieces/l|mm3/l"
"SHARK_Phytoplankton_2000_SMHI_Anholt","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2000_SMHI_Anholt_version_2025-03-09.zip",1734,23,23,"2000-01-22","2000-12-16",1,0,1734,0,578,578,578,1734,"Abundance|Biovolume concentration|Carbon concentration","ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2000_SUSE","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2000_SUSE_version_2025-03-09.zip",2574,35,26,"2000-01-18","2000-12-07",3,0,0,2574,0,1281,1293,2574,"Abundance|Biovolume concentration","ind/l or 100 um pieces/l|mm3/l"
"SHARK_Phytoplankton_2001_SMHI_A17","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2001_SMHI_A17_version_2025-03-09.zip",1122,12,12,"2001-01-15","2001-12-13",1,0,1122,0,279,281,562,1122,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2001_SMHI_Anholt","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2001_SMHI_Anholt_version_2025-03-09.zip",1555,21,21,"2001-01-16","2001-12-12",1,0,1555,0,774,0,781,1555,"Abundance|Carbon concentration","ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2001_SUSE","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2001_SUSE_version_2025-03-09.zip",2384,36,26,"2001-01-17","2001-12-12",3,0,0,2384,0,1192,1192,2384,"Abundance|Biovolume concentration","ind/l or 100 um pieces/l|mm3/l"
"SHARK_Phytoplankton_2002_SMHI","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2002_SMHI_version_2025-03-09.zip",3642,35,35,"2002-01-11","2002-12-12",2,0,3642,0,909,911,1822,3642,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2002_SMHI_HABILE","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2002_SMHI_HABILE_version_2025-03-09.zip",9622,93,20,"2002-01-12","2002-12-11",2,0,9622,0,0,0,9622,9622,"# counted|Abundance","ind/analysed sample fraction|ind/l or 100 um pieces/l"
"SHARK_Phytoplankton_2002_SUSE","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2002_SUSE_version_2025-03-09.zip",1896,33,27,"2002-01-13","2002-12-10",3,0,0,1896,0,948,948,1896,"Abundance|Biovolume concentration","ind/l or 100 um pieces/l|mm3/l"
"SHARK_Phytoplankton_2002_UMSC","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2002_UMSC_version_2025-03-09.zip",1854,24,24,"2002-01-15","2002-12-05",4,0,0,1854,612,0,1242,1854,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2003_SMHI","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2003_SMHI_version_2025-03-09.zip",1262,24,24,"2003-01-19","2003-12-10",1,0,1262,0,624,0,638,1262,"Abundance|Carbon concentration","ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2003_SMHI_A17","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2003_SMHI_A17_version_2025-03-09.zip",1362,13,13,"2003-01-13","2003-12-11",1,0,1362,0,339,341,682,1362,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2003_SUSE","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2003_SUSE_version_2025-03-09.zip",2136,39,34,"2003-01-15","2003-12-09",3,0,0,2136,0,1068,1068,2136,"Abundance|Biovolume concentration","ind/l or 100 um pieces/l|mm3/l"
"SHARK_Phytoplankton_2003_UMSC","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2003_UMSC_version_2025-03-09.zip",2159,24,24,"2003-01-13","2003-12-03",3,0,0,2159,717,0,1442,2159,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2004_SMHI","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2004_SMHI_version_2025-03-09.zip",4411,37,37,"2004-01-12","2004-12-09",2,0,4411,0,1102,1103,2206,4411,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2004_SUSE","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2004_SUSE_version_2025-03-09.zip",2468,39,33,"2004-01-14","2004-12-08",3,0,0,2468,0,1234,1234,2468,"Abundance|Biovolume concentration","ind/l or 100 um pieces/l|mm3/l"
"SHARK_Phytoplankton_2004_UMSC","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2004_UMSC_version_2025-03-09.zip",1713,16,16,"2004-01-23","2004-11-04",3,0,0,1713,571,0,1142,1713,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2005_SMHI","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2005_SMHI_version_2025-03-09.zip",4028,35,35,"2005-01-17","2005-12-15",2,0,4028,0,1007,1007,2014,4028,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2005_SUSE","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2005_SUSE_version_2025-03-09.zip",2600,38,32,"2005-01-19","2005-12-13",3,0,0,2600,0,1300,1300,2600,"Abundance|Biovolume concentration","ind/l or 100 um pieces/l|mm3/l"
"SHARK_Phytoplankton_2005_UMSC","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2005_UMSC_version_2025-03-09.zip",1219,16,16,"2005-01-18","2005-12-02",2,0,0,1219,407,0,812,1219,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2006_SMHI","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2006_SMHI_version_2025-03-09.zip",4158,36,35,"2006-01-16","2006-12-14",2,0,4158,0,0,1386,2772,4158,"# counted|Abundance|Biovolume concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l"
"SHARK_Phytoplankton_2006_SUSE","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2006_SUSE_version_2025-03-09.zip",3609,36,32,"2006-01-18","2006-11-16",3,0,0,3609,1195,8,2406,3609,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2006_UMSC","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2006_UMSC_version_2025-03-09.zip",1905,20,20,"2006-01-23","2006-12-06",2,0,0,1905,635,0,1270,1905,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2007_SMHI","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2007_SMHI_version_2025-03-09.zip",3003,26,25,"2007-02-07","2007-11-13",2,0,3003,0,999,2,2002,3003,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2007_SUSE","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2007_SUSE_version_2025-03-09.zip",3723,34,28,"2007-01-16","2007-11-15",3,0,0,3723,1231,10,2482,3723,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2007_UMSC","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2007_UMSC_version_2025-03-09.zip",2136,20,20,"2007-01-15","2007-12-18",2,0,0,2136,712,0,1424,2136,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2008_SMHI","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2008_SMHI_version_2025-03-09.zip",5560,38,37,"2008-01-14","2008-12-11",2,0,5560,0,1390,1390,2780,5560,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2008_SUSE","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2008_SUSE_version_2025-03-09.zip",3957,36,27,"2008-01-16","2008-11-13",3,0,0,3957,1307,8,2642,3957,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2008_UMSC","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2008_UMSC_version_2025-03-09.zip",2425,21,21,"2008-01-14","2008-12-03",3,0,0,2425,805,0,1620,2425,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2009_SMHI","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2009_SMHI_version_2025-03-09.zip",4192,38,37,"2009-01-17","2009-12-10",2,0,4192,0,1368,0,2824,0,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2009_SUSE","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2009_SUSE_version_2025-03-09.zip",5601,36,25,"2009-01-13","2009-11-12",3,0,0,5601,1855,6,3740,5601,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2009_UMSC","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2009_UMSC_version_2025-03-09.zip",2296,21,21,"2009-01-12","2009-12-03",2,0,0,2296,762,0,1534,2296,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2010_SMHI","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2010_SMHI_version_2025-03-09.zip",6417,38,37,"2010-01-17","2010-12-07",2,0,6417,0,1612,1581,3224,0,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2010_SMHI_Ferrybox","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2010_SMHI_Ferrybox_version_2025-03-09.zip",548,6,4,"2010-05-24","2010-06-09",1,0,206,342,176,0,372,0,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2010_SUSE","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2010_SUSE_version_2025-03-09.zip",5484,82,32,"2010-01-19","2010-12-06",3,0,0,5484,1819,9,3656,5484,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2010_UMSC","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2010_UMSC_version_2025-03-09.zip",2190,20,20,"2010-01-20","2010-12-09",2,0,0,2190,722,0,1468,2190,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2011_SMHI","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2011_SMHI_version_2025-03-09.zip",4584,29,28,"2011-01-10","2011-12-16",2,0,4584,0,1522,0,3062,4584,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2011_SUSE","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2011_SUSE_version_2025-03-09.zip",4688,30,22,"2011-01-12","2011-12-08",3,0,0,4688,1556,6,3126,4688,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2011_UMSC","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2011_UMSC_version_2025-03-09.zip",2908,19,19,"2011-01-19","2011-12-08",3,0,0,2908,727,727,1454,2908,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2012_SMHI","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2012_SMHI_version_2025-03-09.zip",4296,30,27,"2012-01-09","2012-12-22",2,0,4296,0,1428,0,2868,4296,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2012_SUSE","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2012_SUSE_version_2025-03-09.zip",4972,24,20,"2012-01-11","2012-11-09",5,0,0,4972,1237,1245,2490,4972,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2012_UMSC","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2012_UMSC_version_2025-03-09.zip",2910,21,21,"2012-01-17","2012-12-23",2,0,0,2910,960,0,1950,2910,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2013_DEEP","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2013_DEEP_version_2025-03-09.zip",5262,34,23,"2013-01-30","2013-12-17",4,0,0,5262,1314,1316,2632,5262,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2013_SMHI","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2013_SMHI_version_2025-03-09.zip",5447,34,32,"2013-01-29","2013-12-18",2,0,5447,0,1802,1,3644,5447,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2013_SMHI_TRANSPAPER","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2013_SMHI_TRANSPAPER_version_2025-03-09.zip",3239,37,20,"2013-03-08","2013-09-20",1,0,703,2536,921,438,1880,3239,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
