"measurement_type","measurement_unit","measurement_rows","linked_occurrence_rows","linked_event_rows","example_values"
"Abundance","Individual per litre",120664,120664,0,"420.1|3361.2|2520.9"
"Analytical laboratory accredited","Not applicable",8865,0,8865,"No"
"Biovolume concentration","Cubic millimetres per litre",120662,120662,0,"0.00195538|0.0128502|0.00655963"
"Carbon content","Micrograms per litre",120662,120662,0,"0.25212|1.63782|0.873589"
"Chlorophyll fluorescence","Micrograms per litre",6090,0,6090,"0.5776|0.5827|0.6723"
"Classifier F1 score model accuracy","Percent",120076,120076,0,"97.959|79.232|88.765"
"Classifier used","Not applicable",120110,120110,0,"SMHI-RF-Tangesund-v6-09Nov2024|SMHI-RF-Baltic-v9-09Nov2024|SMHI-RF-Skagerrak-Kattegat-v7-09Nov2024"
"Colored dissolved organic matter","Parts per billion",6022,0,6022,"5.5328|5.6897|5.8034"
"Count","Individual per analysed sample fraction",120664,120664,0,"2|16|12"
"Date of manual quality control","Not applicable",120664,120664,0,"2025-02-25|2025-02-27"
"Dissolved oxygen","Millilitres per litre",4834,0,4834,"7.4373|7.586|7.5945"
"Flow of water in the FerryBox flow-through system","Litres per minute",6122,0,6122,"8.7156|8.7207|8.7324"
"Imaging instrument flag","Not applicable",3838,0,3838,"Near land|Low r^2, near land|Low biomass, near land"
"Imaging instrument identification number","Not applicable",8865,0,8865,"IFCB110|IFCB134"
"Imaging instrument name","Not applicable",1,0,1,"IFCB"
"Method documentation","Not applicable",8865,0,8865,"https://github.com/hsosik/ifcb-analysis, https://github.com/kudelalab/PSD, https://github.com/EuropeanIFCBGroup/iRfcb"
"Monitoring program code","Not applicable",1,0,1,"Project data"
"Oxygen saturation","Percent",5415,0,5415,"96.8598|97.8034|97.8245"
"Plankton sampling method","Not applicable",8865,0,8865,"Separate depths|Mixed surface layer"
"Practical salinity","Dimensionless",5994,0,5994,"7.346|7.2317|7.2293"
"Prefilter pore size","Micrometres",8865,0,8865,"150"
"Sampler type","Not applicable",8865,0,8865,"Imaging Flow Cytobot|FerryBox"
"Sampling laboratory accredited","Not applicable",1,0,1,"No"
"Sampling platform","Not applicable",6122,0,6122,"RV Svea"
"Total abundance of unidentified shapes in image regions of interest (ROIs)","Regions Of Interest per litre",8851,0,8851,"30670.9|36245.1|32633.4"
"Total number of unidentified shapes in image regions of interest (ROIs)","Dimensionless",8851,0,8851,"146|169|155"
"Total volume of unidentified shapes in image regions of interest (ROIs)","Cubic millimetres per litre",8851,0,8851,"0.0527708|0.102959|0.0863969"
"Training set","Not applicable",8865,0,8865,"https://doi.org/10.17044/scilifelab.25883455.v4"
"Trophic type","Not applicable",113477,113477,0,"Autotrophic|Mixotrophic|Not specified"
"Turbidity","Nephelometric turbidity units",6083,0,6083,"1.2853|1.2831|1.2974"
"Volume of sample","Millilitres",8865,0,8865,"4.76|4.663|4.75"
"Water temperature","Degrees Celsius",6087,0,6087,"8.9807|8.5371|8.5704"
