"work_item_id","wfs_dataset_id","wfs_dataset_name","title_domain_signal","record_geometry_state","record_access_state","duplicate_resolution_state","screening_decision","required_next_action","decision_detail","stage1_raw_response_path","stage1_raw_response_checksum_sha256","contract_version"
"EMODNET-WFS:1941","1941","Checklist of benthic marine algae and cyanobacteria of northern Portugal","unknown","not_checked","not_checked","not_checked","pending","query_record_geometry_and_canonical_provider_metadata","Stage 1 title signal is unknown; title evidence cannot set a final record-level decision under contract 1.0.0.","search_runs/SEARCH-EMODNETBIOWFS-20260808T162029Z/dataset_catalogue_page_0001.json","7e8e93438aec9f2c66b86fbdde72bee1a39a68fa195b43b86ce78ff7e853e6f0","1.0.0"
"EMODNET-WFS:2453","2453","SHARK - National phytoplankton monitoring in Sweden since 1983","unknown","not_checked","not_checked","not_checked","pending","query_record_geometry_and_canonical_provider_metadata","Stage 1 title signal is unknown; title evidence cannot set a final record-level decision under contract 1.0.0.","search_runs/SEARCH-EMODNETBIOWFS-20260808T162029Z/dataset_catalogue_page_0001.json","7e8e93438aec9f2c66b86fbdde72bee1a39a68fa195b43b86ce78ff7e853e6f0","1.0.0"
"EMODNET-WFS:2464","2464","Polish Monitoring Programme - Monitoring of the Baltic Sea: phytobenthos","unknown","not_checked","not_checked","not_checked","pending","query_record_geometry_and_canonical_provider_metadata","Stage 1 title signal is unknown; title evidence cannot set a final record-level decision under contract 1.0.0.","search_runs/SEARCH-EMODNETBIOWFS-20260808T162029Z/dataset_catalogue_page_0001.json","7e8e93438aec9f2c66b86fbdde72bee1a39a68fa195b43b86ce78ff7e853e6f0","1.0.0"
"EMODNET-WFS:3163","3163","Continuous Plankton Recorder Dataset (NOAA) - Phytoplankton","unknown","not_checked","not_checked","not_checked","pending","query_record_geometry_and_canonical_provider_metadata","Stage 1 title signal is unknown; title evidence cannot set a final record-level decision under contract 1.0.0.","search_runs/SEARCH-EMODNETBIOWFS-20260808T162029Z/dataset_catalogue_page_0001.json","7e8e93438aec9f2c66b86fbdde72bee1a39a68fa195b43b86ce78ff7e853e6f0","1.0.0"
"EMODNET-WFS:4405","4405","Microphytoplankton along four transects off the Kenyan coast in 1992","unknown","not_checked","not_checked","not_checked","pending","query_record_geometry_and_canonical_provider_metadata","Stage 1 title signal is unknown; title evidence cannot set a final record-level decision under contract 1.0.0.","search_runs/SEARCH-EMODNETBIOWFS-20260808T162029Z/dataset_catalogue_page_0001.json","7e8e93438aec9f2c66b86fbdde72bee1a39a68fa195b43b86ce78ff7e853e6f0","1.0.0"
"EMODNET-WFS:4458","4458","Cladophorales (Chlorophyta) sampled at the Kenyan coast between 1985 and 1992","unknown","not_checked","not_checked","not_checked","pending","query_record_geometry_and_canonical_provider_metadata","Stage 1 title signal is unknown; title evidence cannot set a final record-level decision under contract 1.0.0.","search_runs/SEARCH-EMODNETBIOWFS-20260808T162029Z/dataset_catalogue_page_0001.json","7e8e93438aec9f2c66b86fbdde72bee1a39a68fa195b43b86ce78ff7e853e6f0","1.0.0"
"EMODNET-WFS:4459","4459","Codiales (Chlorophyta) sampled at Kenya, Zanzibar and the Seychelles between 1985 and 1993","unknown","not_checked","not_checked","not_checked","pending","query_record_geometry_and_canonical_provider_metadata","Stage 1 title signal is unknown; title evidence cannot set a final record-level decision under contract 1.0.0.","search_runs/SEARCH-EMODNETBIOWFS-20260808T162029Z/dataset_catalogue_page_0001.json","7e8e93438aec9f2c66b86fbdde72bee1a39a68fa195b43b86ce78ff7e853e6f0","1.0.0"
"EMODNET-WFS:4461","4461","Caulerpales (Chlorophyta) of the Kenyan coast (July 1985 - September 1989)","unknown","not_checked","not_checked","not_checked","pending","query_record_geometry_and_canonical_provider_metadata","Stage 1 title signal is unknown; title evidence cannot set a final record-level decision under contract 1.0.0.","search_runs/SEARCH-EMODNETBIOWFS-20260808T162029Z/dataset_catalogue_page_0001.json","7e8e93438aec9f2c66b86fbdde72bee1a39a68fa195b43b86ce78ff7e853e6f0","1.0.0"
"EMODNET-WFS:4465","4465","Microphytobenthos North Adriatic-Gulf of Trieste LTER time-series","out_of_domain","not_checked","not_checked","not_checked","pending","query_record_geometry_and_canonical_provider_metadata","Stage 1 title signal is out_of_domain; title evidence cannot set a final record-level decision under contract 1.0.0.","search_runs/SEARCH-EMODNETBIOWFS-20260808T162029Z/dataset_catalogue_page_0001.json","7e8e93438aec9f2c66b86fbdde72bee1a39a68fa195b43b86ce78ff7e853e6f0","1.0.0"
"EMODNET-WFS:4466","4466","Picoplankton North Adriatic-Gulf of Trieste LTER time-series","out_of_domain","not_checked","not_checked","not_checked","pending","query_record_geometry_and_canonical_provider_metadata","Stage 1 title signal is out_of_domain; title evidence cannot set a final record-level decision under contract 1.0.0.","search_runs/SEARCH-EMODNETBIOWFS-20260808T162029Z/dataset_catalogue_page_0001.json","7e8e93438aec9f2c66b86fbdde72bee1a39a68fa195b43b86ce78ff7e853e6f0","1.0.0"
