"ds_id","monitoring_network","subregion_id","method_epoch","year","season","sample_count","unique_sampling_days","sampled_months","target_bloom_season_adequacy"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2000,"autumn",52,20,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2000,"spring",76,31,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2000,"summer",97,34,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2000,"winter",44,15,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2001,"autumn",46,18,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2001,"spring",69,27,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2001,"summer",94,35,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2001,"winter",52,17,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2002,"autumn",50,18,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2002,"spring",90,31,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2002,"summer",98,37,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2002,"winter",45,16,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2003,"autumn",60,23,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2003,"spring",77,25,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2003,"summer",83,31,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2003,"winter",53,19,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2004,"autumn",57,21,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2004,"spring",98,30,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2004,"summer",94,29,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2004,"winter",31,14,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2005,"autumn",67,23,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2005,"spring",85,31,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2005,"summer",91,31,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2005,"winter",45,15,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2006,"autumn",57,23,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2006,"spring",84,33,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2006,"summer",98,35,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2006,"winter",52,19,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2007,"autumn",48,20,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2007,"spring",92,33,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2007,"summer",84,28,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2007,"winter",48,14,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2008,"autumn",65,24,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2008,"spring",70,27,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2008,"summer",91,30,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2008,"winter",60,18,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2009,"autumn",63,25,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2009,"spring",81,31,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2009,"summer",99,34,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2009,"winter",57,21,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2010,"autumn",49,18,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2010,"spring",72,27,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2010,"summer",67,24,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2010,"winter",51,17,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2011,"autumn",16,7,1,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2011,"spring",77,28,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2011,"summer",78,30,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2011,"winter",2,2,1,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2012,"autumn",23,8,2,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2012,"spring",72,29,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2012,"summer",86,30,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2012,"winter",2,1,1,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2013,"autumn",30,10,2,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2013,"spring",71,25,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2013,"summer",79,30,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2013,"winter",3,2,2,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2014,"autumn",30,9,2,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2014,"spring",69,25,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2014,"summer",79,33,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2014,"winter",5,4,2,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2015,"autumn",23,8,2,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2015,"spring",76,28,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2015,"summer",81,30,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2015,"winter",3,2,2,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2016,"autumn",22,6,2,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2016,"spring",77,28,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2016,"summer",79,27,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2016,"winter",1,1,1,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2017,"autumn",23,7,2,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2017,"spring",75,29,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2017,"summer",79,28,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2017,"winter",2,2,1,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2018,"autumn",24,9,2,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2018,"spring",70,26,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2018,"summer",79,29,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2018,"winter",3,2,1,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2019,"autumn",35,9,2,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2019,"spring",64,22,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2019,"summer",80,31,3,"not_assessed_until_stage4_design"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2019,"winter",2,2,1,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1990,"autumn",7,7,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1990,"spring",6,6,2,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1990,"summer",10,8,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1990,"winter",2,2,1,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1991,"autumn",13,6,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1991,"spring",18,11,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1991,"summer",23,12,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1991,"winter",6,5,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1992,"autumn",4,3,2,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1992,"spring",10,8,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1992,"summer",22,12,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1992,"winter",4,2,2,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1993,"autumn",14,6,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1993,"spring",25,11,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1993,"summer",24,12,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1993,"winter",2,2,1,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1994,"autumn",11,8,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1994,"spring",14,10,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1994,"summer",21,11,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1994,"winter",5,5,2,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1995,"autumn",11,9,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1995,"spring",13,11,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1995,"summer",27,12,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1995,"winter",7,7,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1996,"autumn",9,9,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1996,"spring",13,10,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1996,"summer",24,12,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1996,"winter",3,2,1,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1997,"autumn",10,8,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1997,"spring",15,9,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1997,"summer",24,11,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1997,"winter",5,5,3,"not_assessed_until_stage4_design"
"DS03","RWS_MWTL","outside_or_invalid","unknown_not_harmonized",1998,"autumn",7,7,3,"not_assessed_until_stage4_design"
