"ds_id","monitoring_network","subregion_id","sample_count","coordinate_complete_count","unique_support_locations","named_station_count","station_identity_state","latitude_min","latitude_max","longitude_min","longitude_max","spatial_interpolation_permitted"
"DS02","RWS_MWTL","southern_and_central_north_sea",4662,4662,19,0,"coordinate_or_transect_proxy_not_station",51.548074,55.171526,2.677835,6.398433,FALSE
"DS03","RWS_MWTL","outside_or_invalid",2057,2057,12,13,"provider_station",51.3502922764639,53.3749977850965,3.3709881747279,5.16500371219882,FALSE
"DS03","RWS_MWTL","southern_and_central_north_sea",14641,14641,73,60,"provider_station",51.34654,55.172222,2.67913532326814,7.157357971,FALSE
"DS04","BSH","outside_or_invalid",329,329,6,0,"coordinate_or_transect_proxy_not_station",54.1104,54.925,10.4506,13.4996,FALSE
"DS04","BSH","southern_and_central_north_sea",226,226,13,0,"coordinate_or_transect_proxy_not_station",53.6732,55.5002,3.9967,8.0997,FALSE
"DS05","NOVANA","outside_or_invalid",1691,1691,5,0,"coordinate_or_transect_proxy_not_station",56.077833,56.954,8.210667,9.973667,FALSE
"DS05","NOVANA","skagerrak_kattegat",1030,1030,4,0,"coordinate_or_transect_proxy_not_station",56.1305,57.607833,9.915333,11.156333,FALSE
"DS05","NOVANA","southern_and_central_north_sea",409,409,3,0,"coordinate_or_transect_proxy_not_station",55.093867,56.600833,8.350667,8.576383,FALSE
"DS06","SMHI_SHARK","skagerrak_kattegat",3136,3136,118,0,"coordinate_or_transect_proxy_not_station",56.3155,58.8941,10.50428,12.72,FALSE
"DS06","SMHI_SHARK","southern_and_central_north_sea",126,126,5,0,"coordinate_or_transect_proxy_not_station",55.6866,56.2183,12.5166,13.0366,FALSE
"DS07","CEFAS_SMARTBUOY","outside_or_invalid",262,262,1,0,"coordinate_or_transect_proxy_not_station",53.535,53.535,-3.362,-3.362,FALSE
"DS07","CEFAS_SMARTBUOY","southern_and_central_north_sea",606,606,5,0,"coordinate_or_transect_proxy_not_station",51.526,53.531,1.028,2.335,FALSE
"DS09","AWI_SYLT","outside_or_invalid",485,485,2,1,"provider_station",55.0155,55.01553,8.4399,8.4399,FALSE
"DS09","AWI_SYLT","southern_and_central_north_sea",2337,2337,2,2,"provider_station",55.03,55.0383,8.4383,8.46,FALSE
"DS10","VLIZ_LIFEWATCH","southern_and_central_north_sea",441,441,441,0,"coordinate_or_transect_proxy_not_station",50.1015617,52.1194899,0.7481635,3.96861133,FALSE
"DS11","VLIZ_LIFEWATCH","outside_or_invalid",4571,4571,20,0,"coordinate_or_transect_proxy_not_station",52.3795295132,57.90117,4.62200455863,11.66667,FALSE
"DS11","VLIZ_LIFEWATCH","skagerrak_kattegat",6393,6393,177,0,"coordinate_or_transect_proxy_not_station",56.1305,58.86833,8.408333,12.77883,FALSE
"DS11","VLIZ_LIFEWATCH","southern_and_central_north_sea",2526,2526,30,0,"coordinate_or_transect_proxy_not_station",51.185,56.96,-2.11,8.576383,FALSE
"DS12","CPR_SURVEY","outside_or_invalid",193896,193896,192249,0,"coordinate_or_transect_proxy_not_station",-63.318,79.688,-179.9688,179.947,FALSE
"DS12","CPR_SURVEY","skagerrak_kattegat",2562,2562,2519,0,"coordinate_or_transect_proxy_not_station",56.245,58.7533,7.13,12.33,FALSE
"DS12","CPR_SURVEY","southern_and_central_north_sea",70826,70826,65836,0,"coordinate_or_transect_proxy_not_station",48.435,62,-5,8.545,FALSE
"DS16","MSS_STONEHAVEN","southern_and_central_north_sea",865,865,1,0,"coordinate_or_transect_proxy_not_station",56.96,56.96,-2.11,-2.11,FALSE
"DS24","ICES_OSPAR_COMP4","outside_or_invalid",182915,182915,153294,0,"coordinate_or_transect_proxy_not_station",49.3588,61.9992,-5,11.9513,FALSE
"DS24","ICES_OSPAR_COMP4","skagerrak_kattegat",10331,10331,3731,0,"coordinate_or_transect_proxy_not_station",55.9978,59.8833,7.3005,12.72,FALSE
"DS24","ICES_OSPAR_COMP4","southern_and_central_north_sea",313927,313927,277768,0,"coordinate_or_transect_proxy_not_station",48.0767,61.9292,-5,8.855,FALSE
"DS26","SMHI_IFCB","skagerrak_kattegat",3861,3861,1103,0,"coordinate_or_transect_proxy_not_station",56.2048622,58.77875147,8.04905748,12.66198082,FALSE
"DS26","SMHI_IFCB","southern_and_central_north_sea",297,297,296,0,"coordinate_or_transect_proxy_not_station",55.5814,57.46836952,5.80351235,12.97466397,FALSE
"DS27","HEREON_FERRYBOX","outside_or_invalid",16,0,0,0,"coordinate_or_transect_proxy_not_station",,,,,FALSE
"DS27","HEREON_FERRYBOX","southern_and_central_north_sea",663,0,0,0,"coordinate_or_transect_proxy_not_station",,,,,FALSE
