"ds_id","monitoring_network","sample_support_rows","provider_station_rows","coordinate_or_transect_proxy_rows","distinct_provider_stations","station_temporal_support_state"
"DS02","RWS_MWTL",4662,0,4662,0,"unavailable_only_coordinate_or_transect_proxy"
"DS03","RWS_MWTL",16698,16698,0,73,"provider_station_identity_available"
"DS04","BSH",555,0,555,0,"unavailable_only_coordinate_or_transect_proxy"
"DS05","NOVANA",3130,0,3130,0,"unavailable_only_coordinate_or_transect_proxy"
"DS06","SMHI_SHARK",3262,0,3262,0,"unavailable_only_coordinate_or_transect_proxy"
"DS07","CEFAS_SMARTBUOY",868,0,868,0,"unavailable_only_coordinate_or_transect_proxy"
"DS09","AWI_SYLT",2822,2822,0,3,"provider_station_identity_available"
"DS10","VLIZ_LIFEWATCH",441,0,441,0,"unavailable_only_coordinate_or_transect_proxy"
"DS11","VLIZ_LIFEWATCH",13490,0,13490,0,"unavailable_only_coordinate_or_transect_proxy"
"DS12","CPR_SURVEY",267284,0,267284,0,"unavailable_only_coordinate_or_transect_proxy"
"DS16","MSS_STONEHAVEN",865,0,865,0,"unavailable_only_coordinate_or_transect_proxy"
"DS24","ICES_OSPAR_COMP4",507173,0,507173,0,"unavailable_only_coordinate_or_transect_proxy"
"DS26","SMHI_IFCB",4158,0,4158,0,"unavailable_only_coordinate_or_transect_proxy"
"DS27","HEREON_FERRYBOX",679,0,679,0,"unavailable_only_coordinate_or_transect_proxy"
