"ds_id","monitoring_network","station_id","subregion_id","method_epoch","year","station_identity_state","first_date","last_date","sample_count","unique_sampling_days","median_gap_days","gap_p90_days","longest_gap_days"
"DS03","RWS_MWTL","AMSDM_surface","outside_or_invalid","unknown_not_harmonized",2016,"provider_station","2016-04-05","2016-09-21",7,7,28,29,29
"DS03","RWS_MWTL","AMSDM_surface","outside_or_invalid","unknown_not_harmonized",2017,"provider_station","2017-04-05","2017-09-20",7,7,28,28.5,29
"DS03","RWS_MWTL","AMSDM_surface","outside_or_invalid","unknown_not_harmonized",2018,"provider_station","2018-04-05","2018-09-19",7,7,28,28,28
"DS03","RWS_MWTL","AMSDM_surface","outside_or_invalid","unknown_not_harmonized",2019,"provider_station","2019-04-03","2019-09-19",7,7,28,29.5,30
"DS03","RWS_MWTL","BOCHTVWTM_surface","southern_and_central_north_sea","unknown_not_harmonized",1990,"provider_station","1990-04-04","1990-04-04",1,1,,,
"DS03","RWS_MWTL","BOCHTVWTM_surface","southern_and_central_north_sea","unknown_not_harmonized",2007,"provider_station","2007-03-16","2007-09-26",6,6,35,51.8,59
"DS03","RWS_MWTL","BOCHTVWTM_surface","southern_and_central_north_sea","unknown_not_harmonized",2009,"provider_station","2009-03-20","2009-09-16",7,7,29.5,31.5,32
"DS03","RWS_MWTL","BOCHTVWTM_surface","southern_and_central_north_sea","unknown_not_harmonized",2010,"provider_station","2010-01-11","2010-12-17",17,17,17,39,45
"DS03","RWS_MWTL","BOCHTVWTM_surface","southern_and_central_north_sea","unknown_not_harmonized",2011,"provider_station","2011-03-15","2011-09-06",13,13,14,15.9,17
"DS03","RWS_MWTL","BOCHTVWTM_surface","southern_and_central_north_sea","unknown_not_harmonized",2012,"provider_station","2012-03-05","2012-09-11",14,14,15,17,17
"DS03","RWS_MWTL","BOCHTVWTM_surface","southern_and_central_north_sea","unknown_not_harmonized",2013,"provider_station","2013-03-06","2013-09-13",14,14,15,15.8,18
"DS03","RWS_MWTL","BOCHTVWTM_surface","southern_and_central_north_sea","unknown_not_harmonized",2014,"provider_station","2014-02-26","2014-09-18",14,14,15,17,25
"DS03","RWS_MWTL","BOCHTVWTM_surface","southern_and_central_north_sea","unknown_not_harmonized",2015,"provider_station","2015-02-27","2015-09-09",14,14,14,17,19
"DS03","RWS_MWTL","BOCHTVWTM_surface","southern_and_central_north_sea","unknown_not_harmonized",2016,"provider_station","2016-03-04","2016-09-08",14,14,14,17.8,19
