"ds_id","monitoring_network","subregion_id","method_epoch","year","first_date","last_date","sample_count","unique_sampling_days","sampled_months","sampled_seasons","median_gap_days","gap_p90_days","longest_gap_days","supports_daily","supports_3_day","supports_7_day","supports_cadence_matched","adequacy_state"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2000,"2000-01-09","2000-12-27",269,100,12,4,2,7,21,FALSE,TRUE,TRUE,TRUE,"not_assessed_until_target_season_is_frozen"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2001,"2001-01-08","2001-12-13",261,97,12,4,2,7,24,FALSE,TRUE,TRUE,TRUE,"not_assessed_until_target_season_is_frozen"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2002,"2002-01-01","2002-12-22",283,102,12,4,2,8,24,FALSE,TRUE,TRUE,TRUE,"not_assessed_until_target_season_is_frozen"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2003,"2003-01-06","2003-12-17",273,98,12,4,2,7.40000000000001,21,FALSE,TRUE,TRUE,TRUE,"not_assessed_until_target_season_is_frozen"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2004,"2004-01-05","2004-12-14",280,94,12,4,2,7,32,FALSE,TRUE,TRUE,TRUE,"not_assessed_until_target_season_is_frozen"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2005,"2005-01-09","2005-12-19",288,100,12,4,3,7,17,FALSE,TRUE,TRUE,TRUE,"not_assessed_until_target_season_is_frozen"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2006,"2006-01-04","2006-12-19",291,110,12,4,2,7,19,FALSE,TRUE,TRUE,TRUE,"not_assessed_until_target_season_is_frozen"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2007,"2007-01-15","2007-12-18",272,95,12,4,2,7.7,13,FALSE,TRUE,TRUE,TRUE,"not_assessed_until_target_season_is_frozen"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2008,"2008-01-09","2008-12-18",286,99,12,4,2,8,16,FALSE,TRUE,TRUE,TRUE,"not_assessed_until_target_season_is_frozen"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2009,"2009-01-07","2009-12-17",300,111,12,4,2,6,16,FALSE,TRUE,TRUE,TRUE,"not_assessed_until_target_season_is_frozen"
"DS02","RWS_MWTL","southern_and_central_north_sea","unknown_not_harmonized",2010,"2010-01-10","2010-12-16",239,86,12,4,2,7,30,FALSE,TRUE,TRUE,TRUE,"not_assessed_until_target_season_is_frozen"
