"ds_id","monitoring_network","subregion_id","year","sample_count","datetime_precision_count","distinct_utc_hours","time_of_day_support_state","tidal_phase_support_state"
"DS02","RWS_MWTL","southern_and_central_north_sea",2000,269,269,2,"reported_datetime_available","unknown_no_frozen_tide_source"
"DS02","RWS_MWTL","southern_and_central_north_sea",2001,261,261,2,"reported_datetime_available","unknown_no_frozen_tide_source"
"DS02","RWS_MWTL","southern_and_central_north_sea",2002,283,283,2,"reported_datetime_available","unknown_no_frozen_tide_source"
"DS02","RWS_MWTL","southern_and_central_north_sea",2003,273,273,2,"reported_datetime_available","unknown_no_frozen_tide_source"
"DS02","RWS_MWTL","southern_and_central_north_sea",2004,280,280,2,"reported_datetime_available","unknown_no_frozen_tide_source"
"DS02","RWS_MWTL","southern_and_central_north_sea",2005,288,288,2,"reported_datetime_available","unknown_no_frozen_tide_source"
"DS02","RWS_MWTL","southern_and_central_north_sea",2006,291,291,2,"reported_datetime_available","unknown_no_frozen_tide_source"
"DS02","RWS_MWTL","southern_and_central_north_sea",2007,272,272,2,"reported_datetime_available","unknown_no_frozen_tide_source"
"DS02","RWS_MWTL","southern_and_central_north_sea",2008,286,286,2,"reported_datetime_available","unknown_no_frozen_tide_source"
"DS02","RWS_MWTL","southern_and_central_north_sea",2009,300,300,2,"reported_datetime_available","unknown_no_frozen_tide_source"
"DS02","RWS_MWTL","southern_and_central_north_sea",2010,239,239,2,"reported_datetime_available","unknown_no_frozen_tide_source"
"DS02","RWS_MWTL","southern_and_central_north_sea",2011,173,173,2,"reported_datetime_available","unknown_no_frozen_tide_source"
"DS02","RWS_MWTL","southern_and_central_north_sea",2012,183,183,2,"reported_datetime_available","unknown_no_frozen_tide_source"
"DS02","RWS_MWTL","southern_and_central_north_sea",2013,183,183,2,"reported_datetime_available","unknown_no_frozen_tide_source"
"DS02","RWS_MWTL","southern_and_central_north_sea",2014,183,183,2,"reported_datetime_available","unknown_no_frozen_tide_source"
"DS02","RWS_MWTL","southern_and_central_north_sea",2015,183,183,2,"reported_datetime_available","unknown_no_frozen_tide_source"
"DS02","RWS_MWTL","southern_and_central_north_sea",2016,179,179,2,"reported_datetime_available","unknown_no_frozen_tide_source"
"DS02","RWS_MWTL","southern_and_central_north_sea",2017,179,179,2,"reported_datetime_available","unknown_no_frozen_tide_source"
"DS02","RWS_MWTL","southern_and_central_north_sea",2018,176,176,2,"reported_datetime_available","unknown_no_frozen_tide_source"
"DS02","RWS_MWTL","southern_and_central_north_sea",2019,181,181,21,"reported_datetime_available","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",1990,25,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",1991,60,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",1992,40,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",1993,65,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",1994,51,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",1995,58,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",1996,49,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",1997,54,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",1998,56,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",1999,55,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2000,54,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2001,56,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2002,58,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2003,57,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2004,57,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2005,56,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2006,57,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2007,67,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2008,68,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2009,75,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2010,72,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2011,61,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2012,60,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2013,62,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2014,81,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2015,90,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2016,90,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2017,96,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2018,100,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2019,99,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2020,42,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2021,44,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","outside_or_invalid",2022,42,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",1990,410,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",1991,481,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",1992,464,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",1993,444,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",1994,495,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",1995,530,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",1996,509,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",1997,517,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",1998,486,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",1999,526,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",2000,541,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",2001,523,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",2002,567,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",2003,538,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",2004,555,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",2005,551,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",2006,564,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",2007,557,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",2008,561,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",2009,602,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",2010,477,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",2011,377,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",2012,388,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",2013,395,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",2014,370,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",2015,360,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",2016,350,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
"DS03","RWS_MWTL","southern_and_central_north_sea",2017,356,0,0,"date_only_or_unknown","unknown_no_frozen_tide_source"
