"ds_id","monitoring_network","method_epoch","sample_count","depth_reported_count","depth_min_m","depth_max_m","vertical_support_state"
"DS02","RWS_MWTL","unknown_not_harmonized",4662,0,,,"unknown_no_depth_in_stage3_adapter"
"DS03","RWS_MWTL","unknown_not_harmonized",16698,4710,1,3,"reported_depth_range_available"
"DS04","BSH","unknown_not_harmonized",555,555,1,105,"reported_depth_range_available"
"DS05","NOVANA","unknown_not_harmonized",3130,3130,2.4,43,"reported_depth_range_available"
"DS06","SMHI_SHARK","unknown_not_harmonized",3262,0,,,"unknown_no_depth_in_stage3_adapter"
"DS07","CEFAS_SMARTBUOY","unknown_not_harmonized",868,865,1,4,"reported_depth_range_available"
"DS09","AWI_SYLT","unknown_not_harmonized",2822,2822,0,0,"reported_depth_range_available"
"DS10","VLIZ_LIFEWATCH","unknown_not_harmonized",441,441,0,0,"reported_depth_range_available"
"DS11","VLIZ_LIFEWATCH","unknown_not_harmonized",13490,13490,0,49.5,"reported_depth_range_available"
"DS12","CPR_SURVEY","unknown_not_harmonized",267284,0,,,"unknown_no_depth_in_stage3_adapter"
"DS16","MSS_STONEHAVEN","unknown_not_harmonized",865,865,0,10,"reported_depth_range_available"
"DS24","ICES_OSPAR_COMP4","BOT",33903,0,,,"unknown_no_depth_in_stage3_adapter"
"DS24","ICES_OSPAR_COMP4","CTD",22774,0,,,"unknown_no_depth_in_stage3_adapter"
"DS24","ICES_OSPAR_COMP4","PMP",450496,0,,,"unknown_no_depth_in_stage3_adapter"
"DS26","SMHI_IFCB","unknown_not_harmonized",4158,0,,,"unknown_no_depth_in_stage3_adapter"
"DS27","HEREON_FERRYBOX","unknown_not_harmonized",679,0,,,"unknown_no_depth_in_stage3_adapter"
