"ds_id","work_state","adapter_id","stage3_scope","status_evidence_path","sample_support_rows","missing_datetime_rows","missing_coordinate_rows","missing_depth_rows","proxy_station_rows","coverage_gap_state","known_bias_or_limit"
"DS02","complete","screened_records","primary_candidate","metadata/stage2/screening/ds02_rws_screening_summary.csv",4662,0,0,4662,4662,"sample_support_available","coordinates_or_transects_must_not_be_called_stations"
"DS03","complete","eurobis_dwca","primary_candidate_duplicate_audit","metadata/stage2/screening/ds03_eurobis_screening_summary.csv",16698,0,0,11988,0,"sample_support_available","aggregator_copy_not_independent_from_RWS_MWTL"
"DS04","complete","plet_csv","primary_candidate","metadata/stage2/screening/ds04_plet_bsh_screening_summary.csv",555,0,0,0,555,"sample_support_available","coordinates_or_transects_must_not_be_called_stations"
"DS05","complete","plet_csv","primary_candidate","metadata/stage2/screening/ds05_plet_novana_screening_summary.csv",3130,0,0,0,3130,"sample_support_available","coordinates_or_transects_must_not_be_called_stations"
"DS06","complete","screened_records","primary_candidate","metadata/stage2/screening/ds06_smhi_shark_screening_summary.csv",3262,0,0,3262,3262,"sample_support_available","coordinates_or_transects_must_not_be_called_stations"
"DS07","complete","plet_csv","primary_candidate","metadata/stage2/screening/ds07_plet_cefas_screening_summary.csv",868,0,0,3,868,"sample_support_available","coordinates_or_transects_must_not_be_called_stations"
"DS08","unavailable","unavailable","unavailable","metadata/stage2/control/access_dispositions.csv",0,0,0,0,0,"access_unavailable","none_recorded_at_stage3"
"DS09","complete","pangaea_tabular","exploratory","metadata/stage2/screening/ds09_pangaea_screening_summary.csv",2822,0,0,0,0,"sample_support_available","none_recorded_at_stage3"
"DS10","complete","plet_csv","lifeform_secondary","metadata/stage2/screening/ds10_plet_vliz_screening_summary.csv",441,0,0,0,441,"sample_support_available","coordinates_or_transects_must_not_be_called_stations"
"DS11","complete","plet_csv","comparator","metadata/stage2/screening/ds11_plet_chlorophyll_screening_summary.csv",13490,0,0,0,13490,"sample_support_available","coordinates_or_transects_must_not_be_called_stations"
"DS12","complete","screened_records","recurrence_secondary","metadata/stage2/screening/ds12_cpr_screening_summary.csv",267284,0,0,267284,267284,"sample_support_available","coordinates_or_transects_must_not_be_called_stations"
"DS15","complete","non_observational_product","exploratory_product","metadata/stage2/screening/ds15_emodnet_erddap_screening_summary.csv",0,0,0,0,0,"not_an_observation_network","none_recorded_at_stage3"
"DS16","complete","plet_csv","primary_candidate","metadata/stage2/screening/ds16_plet_stonehaven_screening_summary.csv",865,0,0,0,865,"sample_support_available","coordinates_or_transects_must_not_be_called_stations"
"DS22","complete","conversion_authority","conversion_authority","metadata/stage2/screening/ds22_ices_figshare_screening_summary.csv",0,0,0,0,0,"not_an_observation_network","none_recorded_at_stage3"
"DS23","unavailable","unavailable","unavailable","metadata/stage2/control/access_dispositions.csv",0,0,0,0,0,"access_unavailable","none_recorded_at_stage3"
"DS24","complete","comp4_station","comparator","metadata/stage2/screening/ds24_figshare_screening_summary.csv",507173,299,0,507173,0,"sample_support_available","vertical_support_incomplete"
"DS26","complete","screened_records","lifeform_method_secondary","metadata/stage2/screening/ds26_smhi_ifcb_screening_summary.csv",4158,0,0,4158,4158,"sample_support_available","coordinates_or_transects_must_not_be_called_stations"
"DS27","complete","ferrybox_summary","comparator","metadata/stage2/screening/ds27_ferrybox_screening_summary.csv",679,0,679,679,679,"sample_support_available","coordinates_or_transects_must_not_be_called_stations"
"DS28","unavailable","unavailable","unavailable","metadata/stage2/control/access_dispositions.csv",0,0,0,0,0,"access_unavailable","none_recorded_at_stage3"
