"ds_id","monitoring_network","independence_unit","duplicate_family","subregion_id","method_epoch","year","period_start","period_end","analysis_window","reference_tier","stage3_role","role_reason","stage5_compatibility_still_required","phy_c_inspected"
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",1994,"1994-04-12","1994-12-11","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",1994,"1994-04-12","1994-12-11","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",1994,"1994-04-12","1994-12-11","7_day","A","unusable","cadence_does_not_support_7_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",1994,"1994-04-12","1994-12-11","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",1995,"1995-05-23","1995-11-14","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",1995,"1995-05-23","1995-11-14","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",1995,"1995-05-23","1995-11-14","7_day","A","unusable","cadence_does_not_support_7_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",1995,"1995-05-23","1995-11-14","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",1996,"1996-03-16","1996-11-05","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",1996,"1996-03-16","1996-11-05","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",1996,"1996-03-16","1996-11-05","7_day","A","unusable","cadence_does_not_support_7_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",1996,"1996-03-16","1996-11-05","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",1997,"1997-01-25","1997-12-16","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",1997,"1997-01-25","1997-12-16","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",1997,"1997-01-25","1997-12-16","7_day","A","unusable","cadence_does_not_support_7_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",1997,"1997-01-25","1997-12-16","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2000,"2000-01-22","2000-12-16","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2000,"2000-01-22","2000-12-16","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2000,"2000-01-22","2000-12-16","7_day","A","unusable","cadence_does_not_support_7_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2000,"2000-01-22","2000-12-16","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2001,"2001-01-15","2001-12-13","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2001,"2001-01-15","2001-12-13","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
