"ds_id","monitoring_network","work_state","stage2_tier","has_carbon","has_biovolume","has_abundance","has_chlorophyll","has_taxonomy","has_depth","has_method","has_size_class","has_lifeform","has_colony_fields","potential_convertibility_state","cross_lifeform_dominance_permitted_now","method_epoch_state","evidence_source"
"DS06","SMHI_SHARK","complete","A",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"direct_or_provider_carbon_present",TRUE,"requires_source_specific_stage5_harmonization","metadata/stage2/screening/ds06_smhi_shark_screening_summary.csv|data/raw/stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/manifest.csv"
"DS26","SMHI_IFCB","complete","B",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"direct_or_provider_carbon_present",FALSE,"requires_source_specific_stage5_harmonization","metadata/stage2/screening/ds26_smhi_ifcb_screening_summary.csv|data/raw/stage2/ds26_ifcb_reference/DS26_IFCB_REFERENCE_20260808T200000Z/manifest.csv|data/raw/stage2/ds26_smhi_ifcb/DS26_SMHI_IFCB_20260808T195600Z/manifest.csv"
"DS02","RWS_MWTL","complete","A",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"abundance_taxonomy_present_stage5_conversion_audit_required",FALSE,"requires_source_specific_stage5_harmonization","metadata/stage2/screening/ds02_rws_screening_summary.csv|data/raw/stage2/ds02_rws/DS02_RWS_CATALOGUE_20260809T070000Z/manifest.csv|data/raw/stage2/ds02_rws/DS02_RWS_MANUAL_EXPORT_20260809T091700Z/manifest.csv"
"DS04","BSH","complete","A",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"abundance_taxonomy_present_stage5_conversion_audit_required",FALSE,"requires_source_specific_stage5_harmonization","metadata/stage2/screening/ds04_plet_bsh_screening_summary.csv|data/raw/stage2/ds04_plet_bsh/DS04_PLET_BSH_20260809T102924Z/manifest.csv"
"DS05","NOVANA","complete","A",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"abundance_taxonomy_present_stage5_conversion_audit_required",FALSE,"requires_source_specific_stage5_harmonization","metadata/stage2/screening/ds05_plet_novana_screening_summary.csv|data/raw/stage2/ds05_plet_novana/DS05_PLET_NOVANA_20260809T103132Z/manifest.csv"
"DS07","CEFAS_SMARTBUOY","complete","A",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"abundance_taxonomy_present_stage5_conversion_audit_required",FALSE,"requires_source_specific_stage5_harmonization","metadata/stage2/screening/ds07_plet_cefas_screening_summary.csv|data/raw/stage2/ds07_plet_cefas/DS07_PLET_CEFAS_20260809T103354Z/manifest.csv"
"DS08","AWI_HELGOLAND","unavailable","A",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unavailable",FALSE,"unavailable","metadata/stage2/control/access_dispositions.csv"
"DS03","RWS_MWTL","complete","C",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"abundance_taxonomy_present_stage5_conversion_audit_required",FALSE,"requires_source_specific_stage5_harmonization","metadata/stage2/screening/ds03_eurobis_screening_summary.csv|data/raw/stage2/ds03_eurobis/DS03_EUROBIS_IPT_20260809T183011Z/manifest.csv"
"DS23","NIOZ_MARSDIEP","unavailable","C",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unavailable",FALSE,"unavailable","metadata/stage2/control/access_dispositions.csv"
"DS16","MSS_STONEHAVEN","complete","C",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"abundance_taxonomy_present_stage5_conversion_audit_required",FALSE,"requires_source_specific_stage5_harmonization","metadata/stage2/screening/ds16_plet_stonehaven_screening_summary.csv|data/raw/stage2/ds16_plet_stonehaven/DS16_PLET_STONEHAVEN_20260809T105042Z/manifest.csv"
"DS10","VLIZ_LIFEWATCH","complete","C",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"abundance_taxonomy_present_stage5_conversion_audit_required",FALSE,"requires_source_specific_stage5_harmonization","metadata/stage2/screening/ds10_plet_vliz_screening_summary.csv|data/raw/stage2/ds10_plet_vliz/DS10_PLET_VLIZ_20260809T105128Z/manifest.csv|data/raw/stage2/ds10_vliz_imis/DS10_VLIZ_IMIS_20260810T070114Z/manifest.csv"
"DS11","VLIZ_LIFEWATCH","complete","E",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"not_convertible_from_current_evidence",FALSE,"requires_source_specific_stage5_harmonization","metadata/stage2/screening/ds11_plet_chlorophyll_screening_summary.csv|data/raw/stage2/ds11_plet_chlorophyll/DS11_PLET_CHLOROPHYLL_20260809T111606Z/manifest.csv"
"DS09","AWI_SYLT","complete","D",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"not_convertible_from_current_evidence",FALSE,"requires_source_specific_stage5_harmonization","metadata/stage2/screening/ds09_pangaea_screening_summary.csv|data/raw/stage2/ds09_pangaea/DS09_PANGAEA_20260809T183031Z/manifest.csv"
"DS24","ICES_OSPAR_COMP4","complete","E",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"not_convertible_from_current_evidence",FALSE,"requires_source_specific_stage5_harmonization","metadata/stage2/screening/ds24_figshare_screening_summary.csv|data/raw/stage2/ds24_figshare/DS24_FIGSHARE_20260809T183019Z/manifest.csv"
"DS27","HEREON_FERRYBOX","complete","E",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"not_convertible_from_current_evidence",FALSE,"requires_source_specific_stage5_harmonization","metadata/stage2/screening/ds27_ferrybox_screening_summary.csv|data/raw/stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/manifest.csv"
"DS28","VLIZ_LIFEWATCH","unavailable","E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"unavailable",FALSE,"unavailable","metadata/stage2/control/access_dispositions.csv"
"DS15","EMODNET_DERIVED","complete","not_applicable",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"not_convertible_from_current_evidence",FALSE,"requires_source_specific_stage5_harmonization","metadata/stage2/screening/ds15_emodnet_erddap_screening_summary.csv|data/raw/stage2/ds15_emodnet_presence/DS15_EMODNET_20260809T181750Z/manifest.csv"
"DS22","HELCOM_PEG","complete","not_applicable",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"direct_or_provider_carbon_present",FALSE,"requires_source_specific_stage5_harmonization","metadata/stage2/screening/ds22_ices_figshare_screening_summary.csv|data/raw/stage2/ds22_figshare/DS22_FIGSHARE_20260809T181741Z/manifest.csv"
"DS12","CPR_SURVEY","complete","D",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"abundance_taxonomy_present_stage5_conversion_audit_required",FALSE,"requires_source_specific_stage5_harmonization","metadata/stage2/screening/ds12_cpr_screening_summary.csv|data/raw/stage2/ds12_dassh_ipt/DS12_DASSH_IPT_20260810T070124Z/manifest.csv"
