"ds_id","monitoring_network","method_epoch","has_method","method_epoch_state","pooling_permission"
"DS02","RWS_MWTL","unknown_not_harmonized",TRUE,"requires_source_specific_stage5_harmonization","not_permitted_until_method_epochs_are_harmonized"
"DS03","RWS_MWTL","unknown_not_harmonized",TRUE,"requires_source_specific_stage5_harmonization","not_permitted_until_method_epochs_are_harmonized"
"DS04","BSH","unknown_not_harmonized",FALSE,"requires_source_specific_stage5_harmonization","not_permitted_until_method_epochs_are_harmonized"
"DS05","NOVANA","unknown_not_harmonized",FALSE,"requires_source_specific_stage5_harmonization","not_permitted_until_method_epochs_are_harmonized"
"DS06","SMHI_SHARK","unknown_not_harmonized",TRUE,"requires_source_specific_stage5_harmonization","not_permitted_until_method_epochs_are_harmonized"
"DS07","CEFAS_SMARTBUOY","unknown_not_harmonized",FALSE,"requires_source_specific_stage5_harmonization","not_permitted_until_method_epochs_are_harmonized"
"DS09","AWI_SYLT","unknown_not_harmonized",TRUE,"requires_source_specific_stage5_harmonization","not_permitted_until_method_epochs_are_harmonized"
"DS10","VLIZ_LIFEWATCH","unknown_not_harmonized",FALSE,"requires_source_specific_stage5_harmonization","not_permitted_until_method_epochs_are_harmonized"
"DS11","VLIZ_LIFEWATCH","unknown_not_harmonized",FALSE,"requires_source_specific_stage5_harmonization","not_permitted_until_method_epochs_are_harmonized"
"DS12","CPR_SURVEY","unknown_not_harmonized",FALSE,"requires_source_specific_stage5_harmonization","not_permitted_until_method_epochs_are_harmonized"
"DS16","MSS_STONEHAVEN","unknown_not_harmonized",FALSE,"requires_source_specific_stage5_harmonization","not_permitted_until_method_epochs_are_harmonized"
"DS24","ICES_OSPAR_COMP4","BOT",FALSE,"requires_source_specific_stage5_harmonization","not_permitted_until_method_epochs_are_harmonized"
"DS24","ICES_OSPAR_COMP4","CTD",FALSE,"requires_source_specific_stage5_harmonization","not_permitted_until_method_epochs_are_harmonized"
"DS24","ICES_OSPAR_COMP4","PMP",FALSE,"requires_source_specific_stage5_harmonization","not_permitted_until_method_epochs_are_harmonized"
"DS26","SMHI_IFCB","unknown_not_harmonized",TRUE,"requires_source_specific_stage5_harmonization","not_permitted_until_method_epochs_are_harmonized"
"DS27","HEREON_FERRYBOX","unknown_not_harmonized",FALSE,"requires_source_specific_stage5_harmonization","not_permitted_until_method_epochs_are_harmonized"
