"ds_id","monitoring_network","subregion_id","year","stage2_tier","has_carbon","has_biovolume","has_abundance","has_chlorophyll","has_taxonomy","potential_convertibility_state"
"DS02","RWS_MWTL","southern_and_central_north_sea",2000,"A",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
"DS02","RWS_MWTL","southern_and_central_north_sea",2001,"A",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
"DS02","RWS_MWTL","southern_and_central_north_sea",2002,"A",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
"DS02","RWS_MWTL","southern_and_central_north_sea",2003,"A",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
"DS02","RWS_MWTL","southern_and_central_north_sea",2004,"A",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
"DS02","RWS_MWTL","southern_and_central_north_sea",2005,"A",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
"DS02","RWS_MWTL","southern_and_central_north_sea",2006,"A",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
"DS02","RWS_MWTL","southern_and_central_north_sea",2007,"A",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
"DS02","RWS_MWTL","southern_and_central_north_sea",2008,"A",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
"DS02","RWS_MWTL","southern_and_central_north_sea",2009,"A",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
"DS02","RWS_MWTL","southern_and_central_north_sea",2010,"A",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
"DS02","RWS_MWTL","southern_and_central_north_sea",2011,"A",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
"DS02","RWS_MWTL","southern_and_central_north_sea",2012,"A",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
"DS02","RWS_MWTL","southern_and_central_north_sea",2013,"A",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
"DS02","RWS_MWTL","southern_and_central_north_sea",2014,"A",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
"DS02","RWS_MWTL","southern_and_central_north_sea",2015,"A",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
"DS02","RWS_MWTL","southern_and_central_north_sea",2016,"A",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
"DS02","RWS_MWTL","southern_and_central_north_sea",2017,"A",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
"DS02","RWS_MWTL","southern_and_central_north_sea",2018,"A",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
"DS02","RWS_MWTL","southern_and_central_north_sea",2019,"A",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
"DS03","RWS_MWTL","outside_or_invalid",1990,"C",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
"DS03","RWS_MWTL","outside_or_invalid",1991,"C",FALSE,FALSE,TRUE,FALSE,TRUE,"abundance_taxonomy_present_stage5_conversion_audit_required"
