"source_field","stage5_role"
"Division","preserved_authority_field"
"Class","preserved_authority_field"
"Order","preserved_authority_field"
"Genus","taxon_match_key"
"Species","taxon_match_key"
"SFLAG","preserved_authority_field"
"STAGE","taxon_match_key"
"Author","preserved_authority_field"
"AphiaID","taxon_match_key"
"AphiaID_link","preserved_authority_field"
"Trophy","preserved_authority_field"
"Geometric_shape","preserved_authority_field"
"FORMULA","preserved_authority_field"
"SizeClassNo","size_or_geometry_input"
"Nonvalid_SIZCL","preserved_authority_field"
"Not_accepted_name","preserved_authority_field"
"Unit","preserved_authority_field"
"SizeRange","size_or_geometry_input"
"Length(l1)µm","size_or_geometry_input"
"Length(l2)µm","size_or_geometry_input"
"Width(w)µm","size_or_geometry_input"
"Height(h)µm","size_or_geometry_input"
"Diameter(d1)µm","size_or_geometry_input"
"Diameter(d2)µm","size_or_geometry_input"
"No_of_cells/counting_unit","size_or_geometry_input"
"Calculated_volume_µm3 (with formula) - NOT IMPORTED, NOT handled by ICES","preserved_authority_field"
"Calculated_volume_µm3/counting_unit","central_conversion_value"
"Comment","preserved_authority_field"
"Filament_length_of_cell(µm)","preserved_authority_field"
"Calculated_Carbon_pg/counting_unit (with formula) - NOT IMPORTED, NOT handled by ICES","preserved_authority_field"
"Calculated_Carbon_pg/counting_unit","central_conversion_value"
"Comment_on_Carbon_calculation","preserved_authority_field"
"Corrections/Additions - NOT IMPORTED, NOT handled by ICES","preserved_authority_field"
"Synonyms - NOT IMPORTED, NOT handled by ICES","preserved_authority_field"
"WORMS Rank","preserved_authority_field"
"Comment_on_colony_form "" - "" indicates solitary life form, i.e. does nor form colonies  - NOT IMPORTED, NOT handled by ICES","preserved_authority_field"
