"ds_id","reported_taxon_name","reported_aphia_id","reported_size_class","reported_lifeforms","reported_measurement","reported_unit","source_row_count","match_route","peg_candidate_rows","peg_carbon_pg_min","peg_carbon_pg_max","conversion_match_state","accepted_aphia_id","accepted_name","accepted_rank","taxonomy_resolution_state","authority_candidate_rows","authority_match_route","candidate_carbon_pg_lower","candidate_carbon_pg_central","candidate_carbon_pg_upper","conversion_readiness_state"
"DS02","Acanthoceras zachariasii",,,"","AANTPVLME","N/ML",9,"reported_name_diagnostic_only",6,113,614,"name_candidate_requires_worms_validation","178990","Acanthoceras zachariasii","Species","reported_name_exactly_resolved_by_worms",6,"accepted_aphia_id",113,,614,"not_ready_multiple_size_or_stage_authority_rows"
"DS02","Acanthoica quattrospina",,,"","AANTPVLME","N/L",5,"reported_name_diagnostic_only",1,62,62,"name_candidate_requires_worms_validation","235802","Acanthoica quattrospina","Species","reported_name_exactly_resolved_by_worms",1,"accepted_aphia_id",62,62,62,"candidate_only_measurement_size_method_and_uncertainty_unresolved"
"DS02","Achnanthaceae [1]",,,"","AANTFTE","PROCENT",2,"no_match_key",0,,,"unmatched","","","","worms_fuzzy_candidate_requires_review",0,"no_accepted_taxonomy",,,,"not_ready_taxonomy_unresolved"
"DS02","Achnanthales",,,"","AANTFTE","PROCENT",2,"no_match_key",0,,,"unmatched","148987","Achnanthales","Order","reported_name_exactly_resolved_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS02","Achnanthales",,,"","AANTPVLME","N/ML",2,"no_match_key",0,,,"unmatched","148987","Achnanthales","Order","reported_name_exactly_resolved_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS02","Achnanthes [1]",,,"","AANTFTE","PROCENT",1,"no_match_key",0,,,"unmatched","","","","worms_fuzzy_candidate_requires_review",0,"no_accepted_taxonomy",,,,"not_ready_taxonomy_unresolved"
"DS02","Achnanthes [1]",,,"","AANTPVLME","N/ML",8,"no_match_key",0,,,"unmatched","","","","worms_fuzzy_candidate_requires_review",0,"no_accepted_taxonomy",,,,"not_ready_taxonomy_unresolved"
"DS02","Achnanthes [2]",,,"","AANTFTE","PROCENT",8,"no_match_key",0,,,"unmatched","","","","worms_fuzzy_candidate_requires_review",0,"no_accepted_taxonomy",,,,"not_ready_taxonomy_unresolved"
"DS02","Achnanthes [2]",,,"","AANTPVLME","N/ML",21,"no_match_key",0,,,"unmatched","","","","worms_fuzzy_candidate_requires_review",0,"no_accepted_taxonomy",,,,"not_ready_taxonomy_unresolved"
"DS02","Achnanthes armillaris",,,"","AANTPVLME","N/L",1,"no_match_key",0,,,"unmatched","1340312","Achnanthes armillaris","Species","reported_name_exactly_resolved_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS02","Achnanthes brevipes",,,"","AANTFTE","PROCENT",15,"no_match_key",0,,,"unmatched","","","","reported_name_unresolved",0,"no_accepted_taxonomy",,,,"not_ready_taxonomy_unresolved"
