"ds_id","reported_taxon_name","reported_aphia_id","reported_size_class","reported_lifeforms","reported_measurement","reported_unit","source_row_count","match_route","peg_candidate_rows","peg_carbon_pg_min","peg_carbon_pg_max","conversion_match_state"
"DS02","Acanthoceras zachariasii","","","","AANTPVLME","N/ML",9,"reported_name_diagnostic_only",6,113,614,"name_candidate_requires_worms_validation"
"DS02","Acanthoica quattrospina","","","","AANTPVLME","N/L",5,"reported_name_diagnostic_only",1,62,62,"name_candidate_requires_worms_validation"
"DS02","Achnanthaceae [1]","","","","AANTFTE","PROCENT",2,"no_match_key",0,,,"unmatched"
"DS02","Achnanthales","","","","AANTFTE","PROCENT",2,"no_match_key",0,,,"unmatched"
"DS02","Achnanthales","","","","AANTPVLME","N/ML",2,"no_match_key",0,,,"unmatched"
"DS02","Achnanthes [1]","","","","AANTFTE","PROCENT",1,"no_match_key",0,,,"unmatched"
"DS02","Achnanthes [1]","","","","AANTPVLME","N/ML",8,"no_match_key",0,,,"unmatched"
"DS02","Achnanthes [2]","","","","AANTFTE","PROCENT",8,"no_match_key",0,,,"unmatched"
"DS02","Achnanthes [2]","","","","AANTPVLME","N/ML",21,"no_match_key",0,,,"unmatched"
"DS02","Achnanthes armillaris","","","","AANTPVLME","N/L",1,"no_match_key",0,,,"unmatched"
"DS02","Achnanthes brevipes","","","","AANTFTE","PROCENT",15,"no_match_key",0,,,"unmatched"
"DS02","Achnanthes brevipes","","","","AANTPVLME","N/L",11,"no_match_key",0,,,"unmatched"
"DS02","Achnanthes brevipes var. intermedia","","","","AANTFTE","PROCENT",14,"no_match_key",0,,,"unmatched"
"DS02","Achnanthes coarctata","","","","AANTFTE","PROCENT",8,"no_match_key",0,,,"unmatched"
"DS02","Achnanthes delicatula [2]","","","","AANTFTE","PROCENT",10,"no_match_key",0,,,"unmatched"
"DS02","Achnanthes lanceolata [2]","","","","AANTFTE","PROCENT",9,"no_match_key",0,,,"unmatched"
"DS02","Achnanthes lanceolata [2]","","","","AANTPVLME","N/ML",6,"no_match_key",0,,,"unmatched"
"DS02","Achnanthes longipes","","","","AANTPVLME","N/L",6,"no_match_key",0,,,"unmatched"
"DS02","Achnanthes minuscula","","","","AANTFTE","PROCENT",1,"no_match_key",0,,,"unmatched"
"DS02","Achnanthes minuscula","","","","AANTPVLME","N/ML",1,"no_match_key",0,,,"unmatched"
"DS02","Achnanthes minutissima [2]","","","","AANTFTE","PROCENT",24,"no_match_key",0,,,"unmatched"
"DS02","Achnanthes minutissima [2]","","","","AANTPVLME","N/ML",11,"no_match_key",0,,,"unmatched"
"DS02","Achnanthes minutissima var. inconspicua","","","","AANTFTE","PROCENT",11,"no_match_key",0,,,"unmatched"
"DS02","Achnanthes minutissima var. inconspicua [2]","","","","AANTFTE","PROCENT",3,"no_match_key",0,,,"unmatched"
"DS02","Achnanthes subsessilis","","","","AANTFTE","PROCENT",1,"no_match_key",0,,,"unmatched"
"DS02","Achnanthes vistulana","","","","AANTFTE","PROCENT",1,"no_match_key",0,,,"unmatched"
"DS02","Achnanthidiaceae","","","","AANTFTE","PROCENT",3,"no_match_key",0,,,"unmatched"
"DS02","Achnanthidium","","","","AANTFTE","PROCENT",25,"no_match_key",0,,,"unmatched"
"DS02","Achnanthidium","","","","AANTPVLME","N/L",1,"no_match_key",0,,,"unmatched"
"DS02","Achnanthidium","","","","AANTPVLME","N/ML",71,"no_match_key",0,,,"unmatched"
"DS02","Achnanthidium affine","","","","AANTFTE","PROCENT",2,"no_match_key",0,,,"unmatched"
"DS02","Achnanthidium atomoides","","","","AANTFTE","PROCENT",2,"no_match_key",0,,,"unmatched"
"DS02","Achnanthidium catenatum","","","","AANTFTE","PROCENT",2,"no_match_key",0,,,"unmatched"
"DS02","Achnanthidium crassum [2]","","","","AANTFTE","PROCENT",2,"no_match_key",0,,,"unmatched"
"DS02","Achnanthidium delmontii","","","","AANTFTE","PROCENT",12,"no_match_key",0,,,"unmatched"
"DS02","Achnanthidium eutrophilum","","","","AANTFTE","PROCENT",84,"no_match_key",0,,,"unmatched"
"DS02","Achnanthidium exiguum","","","","AANTFTE","PROCENT",2,"no_match_key",0,,,"unmatched"
"DS02","Achnanthidium jackii","","","","AANTFTE","PROCENT",18,"no_match_key",0,,,"unmatched"
"DS02","Achnanthidium lineare","","","","AANTFTE","PROCENT",2,"no_match_key",0,,,"unmatched"
"DS02","Achnanthidium microcephalum [1]","","","","AANTFTE","PROCENT",6,"no_match_key",0,,,"unmatched"
"DS02","Achnanthidium minutissimum","","","","AANTFTE","PROCENT",158,"no_match_key",0,,,"unmatched"
"DS02","Achnanthidium minutissimum","","","","AANTPVLME","N/ML",10,"no_match_key",0,,,"unmatched"
