"stage","category","path","producer_script","script_reference_candidates","exists","size_bytes","sha256","checksum_source","git_tracked","immutable","traceability_state"
"stage5","configuration","config/stage5_source_contract.csv","not_applicable_source_or_input","",TRUE,1213,"46e5100cca2e9a721fb0e5e0a2a22df5ddc4fffe9713e04b6d7f3ae1a0ba3c07","calculated_by_inventory_script",FALSE,FALSE,"source_or_input"
"stage5","configuration","config/stage5_worms_acquisition.json","not_applicable_source_or_input","",TRUE,754,"fe7b060cfa334c76a5628284b661ddf0af1725e04b287443f31180479d9a0674","calculated_by_inventory_script",FALSE,FALSE,"source_or_input"
"stage5","generated_data","data/interim/stage5/canonical/ds02_taxon_observations.csv","scripts/05_stage5/03_build_provisional_canonical.R","",TRUE,268153754,"4e062f3b997aca70a716f3594cb7f692ac0a90665b4090e6fd1361a2fc5bce82","metadata/stage5/harmonization/canonical_partition_manifest.csv",FALSE,FALSE,"traceable"
"stage5","generated_data","data/interim/stage5/canonical/ds04_taxon_observations.csv","scripts/05_stage5/03_build_provisional_canonical.R","",TRUE,236592677,"fdee02451b4cade85e4962499c29a3859d022da7ad71059983a3ec80d58d2061","metadata/stage5/harmonization/canonical_partition_manifest.csv",FALSE,FALSE,"traceable"
"stage5","generated_data","data/interim/stage5/canonical/ds05_taxon_observations.csv","scripts/05_stage5/03_build_provisional_canonical.R","",TRUE,45507023,"26721b13b2e5ab7fe0b93575dcdd54eada4242cda67368ecd007fcbd5bc67726","metadata/stage5/harmonization/canonical_partition_manifest.csv",FALSE,FALSE,"traceable"
"stage5","generated_data","data/interim/stage5/canonical/ds06_taxon_observations.csv","scripts/05_stage5/03_build_provisional_canonical.R","",TRUE,534789511,"605d83169cae5f5c18dbcf6f72559085e10210775c90e842912de9154abe6e39","metadata/stage5/harmonization/canonical_partition_manifest.csv",FALSE,FALSE,"traceable"
"stage5","generated_data","data/interim/stage5/canonical/ds07_taxon_observations.csv","scripts/05_stage5/03_build_provisional_canonical.R","",TRUE,339075613,"7c5a16634a861121a11ed7cf139e8e2814ecbd68a342d238395f60a8832b68d4","metadata/stage5/harmonization/canonical_partition_manifest.csv",FALSE,FALSE,"traceable"
"stage5","generated_data","data/interim/stage5/canonical/ds16_taxon_observations.csv","scripts/05_stage5/03_build_provisional_canonical.R","",TRUE,106549236,"ede3f74ae0b41df0102794678f01192cd2fc5fd75d1d33dd454d3610ba70db6d","metadata/stage5/harmonization/canonical_partition_manifest.csv",FALSE,FALSE,"traceable"
"stage5","generated_data","data/interim/stage5/reference/peg_bvol_2026.csv","scripts/05_stage5/01_extract_conversion_authority.R","",TRUE,1416137,"80f6b6421a0146b7535d3cd8afb1a37b982d968279545f2b0cabedee1b06e5da","calculated_by_inventory_script",FALSE,FALSE,"traceable"
"stage5","generated_data","data/interim/stage5/sample_method_completeness.csv","scripts/05_stage5/07_build_provisional_sample_audit.R","",TRUE,9459445,"94d409f9a7b9c28286c9910dce457e3fe59a555492d464776711ff89c1728d1e","metadata/stage5/harmonization/sample_method_completeness_manifest.csv",FALSE,FALSE,"traceable"
"stage5","raw_evidence","data/raw/stage5/ds04_plet_bsh_corrected/DS04_PLET_BSH_ABUNDANCE_20260810T200011Z/acquisition.log","scripts/00_downloads/stage2/11_acquire_ds04_plet_bsh.R","",TRUE,434,"a2bd5e1a3261d3396cd5d27386e46bd2c98ef89877bed47d39f50568338275c6","calculated_by_inventory_script_small_unregistered_raw",FALSE,TRUE,"traceable"
"stage5","raw_evidence","data/raw/stage5/ds04_plet_bsh_corrected/DS04_PLET_BSH_ABUNDANCE_20260810T200011Z/bsh_phyto_zoo_abundance.csv","scripts/00_downloads/stage2/11_acquire_ds04_plet_bsh.R","",TRUE,78280543,"3ad6c98b215e944bccb083163f1610aebc306dbba6104131d22301428e4d7fd9","data/raw/stage5/ds04_plet_bsh_corrected/DS04_PLET_BSH_ABUNDANCE_20260810T200011Z/manifest.csv",FALSE,TRUE,"traceable"
"stage5","raw_evidence","data/raw/stage5/ds04_plet_bsh_corrected/DS04_PLET_BSH_ABUNDANCE_20260810T200011Z/manifest.csv","scripts/00_downloads/stage2/11_acquire_ds04_plet_bsh.R","",TRUE,417,"643eea38c0254ef17a63bbf9af42f5b236882be3b9203866380b5e9acff9f81f","calculated_by_inventory_script_small_unregistered_raw",FALSE,TRUE,"traceable"
"stage5","raw_evidence","data/raw/stage5/ds04_plet_bsh_corrected/DS04_PLET_BSH_ABUNDANCE_20260810T200011Z/request_parameters.json","scripts/00_downloads/stage2/11_acquire_ds04_plet_bsh.R","",TRUE,680,"f89aa11c5c1120129f0e9b8a94a46f8b5119cd7e1bad83792b37bbce121bb4fd","data/raw/stage5/ds04_plet_bsh_corrected/DS04_PLET_BSH_ABUNDANCE_20260810T200011Z/manifest.csv",FALSE,TRUE,"traceable"
"stage5","raw_evidence","data/raw/stage5/ds04_plet_bsh_corrected/DS04_PLET_BSH_ABUNDANCE_20260810T200011Z/response.html","scripts/00_downloads/stage2/11_acquire_ds04_plet_bsh.R","",TRUE,234,"56f3d4ebd0d30c711a289c37758043bbd0f4e61b3df7caca3d8719900b4b5b61","data/raw/stage5/ds04_plet_bsh_corrected/DS04_PLET_BSH_ABUNDANCE_20260810T200011Z/manifest.csv",FALSE,TRUE,"traceable"
"stage5","raw_evidence","data/raw/stage5/worms_taxonomy/WORMS_TAXONOMY_20260810T202457Z/acquisition.log","scripts/00_downloads/stage5/02_acquire_worms_taxonomy.R","",TRUE,3965,"b7217690c62a93c7c8cfd629322f1930f5027bb93fd06481a03b7576367ff989","calculated_by_inventory_script_small_unregistered_raw",FALSE,TRUE,"traceable"
"stage5","raw_evidence","data/raw/stage5/worms_taxonomy/WORMS_TAXONOMY_20260810T202457Z/aphia_batch_001.json","scripts/00_downloads/stage5/02_acquire_worms_taxonomy.R","",TRUE,42904,"f2960dbd466954b78fe7ac65bf60912d6b13750cec3aa85158f60d6f129214c8","data/raw/stage5/worms_taxonomy/WORMS_TAXONOMY_20260810T202457Z/manifest.csv",FALSE,TRUE,"traceable"
"stage5","raw_evidence","data/raw/stage5/worms_taxonomy/WORMS_TAXONOMY_20260810T202457Z/aphia_batch_002.json","scripts/00_downloads/stage5/02_acquire_worms_taxonomy.R","",TRUE,48345,"27721520c9cc94dfd4db2f971c716245682b14d4c18ef545d5d1adc798060ef9","data/raw/stage5/worms_taxonomy/WORMS_TAXONOMY_20260810T202457Z/manifest.csv",FALSE,TRUE,"traceable"
"stage5","raw_evidence","data/raw/stage5/worms_taxonomy/WORMS_TAXONOMY_20260810T202457Z/aphia_batch_003.json","scripts/00_downloads/stage5/02_acquire_worms_taxonomy.R","",TRUE,49789,"3922d95f18bb103ae773b9cb27e39f2dacf9beb238bdb9be372fe64e3660949b","data/raw/stage5/worms_taxonomy/WORMS_TAXONOMY_20260810T202457Z/manifest.csv",FALSE,TRUE,"traceable"
"stage5","raw_evidence","data/raw/stage5/worms_taxonomy/WORMS_TAXONOMY_20260810T202457Z/aphia_batch_004.json","scripts/00_downloads/stage5/02_acquire_worms_taxonomy.R","",TRUE,49817,"726868496f9344236c2b50fef07141bb91d22244cddaca2647b5b635970fb7df","data/raw/stage5/worms_taxonomy/WORMS_TAXONOMY_20260810T202457Z/manifest.csv",FALSE,TRUE,"traceable"
"stage5","raw_evidence","data/raw/stage5/worms_taxonomy/WORMS_TAXONOMY_20260810T202457Z/aphia_batch_005.json","scripts/00_downloads/stage5/02_acquire_worms_taxonomy.R","",TRUE,56115,"b8e8a64e9e519a0dab50095bc8dbb9dd82dee5adaa4c483cd849679b802f1f2e","data/raw/stage5/worms_taxonomy/WORMS_TAXONOMY_20260810T202457Z/manifest.csv",FALSE,TRUE,"traceable"
"stage5","raw_evidence","data/raw/stage5/worms_taxonomy/WORMS_TAXONOMY_20260810T202457Z/aphia_batch_006.json","scripts/00_downloads/stage5/02_acquire_worms_taxonomy.R","",TRUE,57409,"32fb9db4830efd69f15f2573d064c1f4e804a5fe7b8955b3a2bc58a2b47b5387","data/raw/stage5/worms_taxonomy/WORMS_TAXONOMY_20260810T202457Z/manifest.csv",FALSE,TRUE,"traceable"
"stage5","raw_evidence","data/raw/stage5/worms_taxonomy/WORMS_TAXONOMY_20260810T202457Z/aphia_batch_007.json","scripts/00_downloads/stage5/02_acquire_worms_taxonomy.R","",TRUE,52990,"b20bc787b87fbbb7dae31bc40dd3e621b92fff1fbc7c98b4c69a3f63b93be682","data/raw/stage5/worms_taxonomy/WORMS_TAXONOMY_20260810T202457Z/manifest.csv",FALSE,TRUE,"traceable"
