"crosswalk_version","accepted_aphia_id","authority_species","authority_genus","authority_class","authority_division","authority_trophy","authority_size_class","lifeform_primary","lifeform_secondary","autotrophy_status","autotrophy_uncertainty","colony_state","phaeocystis_state","assignment_rule","crosswalk_state"
"PEG_BVOL2026_stage5_v1",146563,"Aphanocapsa delicatissima","Aphanocapsa","Cyanophyceae","CYANOBACTERIA","AU",1,"other_autotrophic_phytoplankton","","autotroph",FALSE,"provider_comment_mentions_colony","not_phaeocystis","peg_trophy_au_other","authority_rule_assignment_not_yet_applied_to_biomass"
"PEG_BVOL2026_stage5_v1",146563,"Aphanocapsa delicatissima","Aphanocapsa","Cyanophyceae","CYANOBACTERIA","AU",2,"other_autotrophic_phytoplankton","","autotroph",FALSE,"provider_comment_mentions_colony","not_phaeocystis","peg_trophy_au_other","authority_rule_assignment_not_yet_applied_to_biomass"
"PEG_BVOL2026_stage5_v1",146563,"Aphanocapsa delicatissima","Aphanocapsa","Cyanophyceae","CYANOBACTERIA","AU",3,"other_autotrophic_phytoplankton","","autotroph",FALSE,"provider_comment_mentions_colony","not_phaeocystis","peg_trophy_au_other","authority_rule_assignment_not_yet_applied_to_biomass"
"PEG_BVOL2026_stage5_v1",146563,"Aphanocapsa delicatissima","Aphanocapsa","Cyanophyceae","CYANOBACTERIA","AU",4,"other_autotrophic_phytoplankton","","autotroph",FALSE,"provider_comment_mentions_colony","not_phaeocystis","peg_trophy_au_other","authority_rule_assignment_not_yet_applied_to_biomass"
"PEG_BVOL2026_stage5_v1",146563,"Aphanocapsa delicatissima","Aphanocapsa","Cyanophyceae","CYANOBACTERIA","AU",5,"other_autotrophic_phytoplankton","","autotroph",FALSE,"provider_comment_mentions_colony","not_phaeocystis","peg_trophy_au_other","authority_rule_assignment_not_yet_applied_to_biomass"
"PEG_BVOL2026_stage5_v1",146563,"Aphanocapsa delicatissima","Aphanocapsa","Cyanophyceae","CYANOBACTERIA","AU",6,"other_autotrophic_phytoplankton","","autotroph",FALSE,"provider_comment_mentions_colony","not_phaeocystis","peg_trophy_au_other","authority_rule_assignment_not_yet_applied_to_biomass"
"PEG_BVOL2026_stage5_v1",146563,"Aphanocapsa delicatissima","Aphanocapsa","Cyanophyceae","CYANOBACTERIA","AU",7,"other_autotrophic_phytoplankton","","autotroph",FALSE,"provider_comment_mentions_colony","not_phaeocystis","peg_trophy_au_other","authority_rule_assignment_not_yet_applied_to_biomass"
"PEG_BVOL2026_stage5_v1",146564,"Aphanocapsa elachista","Aphanocapsa","Cyanophyceae","CYANOBACTERIA","AU",1,"other_autotrophic_phytoplankton","","autotroph",FALSE,"provider_comment_mentions_colony","not_phaeocystis","peg_trophy_au_other","authority_rule_assignment_not_yet_applied_to_biomass"
"PEG_BVOL2026_stage5_v1",146564,"Aphanocapsa elachista","Aphanocapsa","Cyanophyceae","CYANOBACTERIA","AU",2,"other_autotrophic_phytoplankton","","autotroph",FALSE,"provider_comment_mentions_colony","not_phaeocystis","peg_trophy_au_other","authority_rule_assignment_not_yet_applied_to_biomass"
"PEG_BVOL2026_stage5_v1",146564,"Aphanocapsa elachista","Aphanocapsa","Cyanophyceae","CYANOBACTERIA","AU",3,"other_autotrophic_phytoplankton","","autotroph",FALSE,"provider_comment_mentions_colony","not_phaeocystis","peg_trophy_au_other","authority_rule_assignment_not_yet_applied_to_biomass"
"PEG_BVOL2026_stage5_v1",146564,"Aphanocapsa elachista","Aphanocapsa","Cyanophyceae","CYANOBACTERIA","AU",4,"other_autotrophic_phytoplankton","","autotroph",FALSE,"provider_comment_mentions_colony","not_phaeocystis","peg_trophy_au_other","authority_rule_assignment_not_yet_applied_to_biomass"
"PEG_BVOL2026_stage5_v1",146564,"Aphanocapsa elachista","Aphanocapsa","Cyanophyceae","CYANOBACTERIA","AU",5,"other_autotrophic_phytoplankton","","autotroph",FALSE,"provider_comment_mentions_colony","not_phaeocystis","peg_trophy_au_other","authority_rule_assignment_not_yet_applied_to_biomass"
"PEG_BVOL2026_stage5_v1",146647,"Aphanocapsa holsatica","Aphanocapsa","Cyanophyceae","CYANOBACTERIA","AU",1,"other_autotrophic_phytoplankton","","autotroph",FALSE,"provider_comment_mentions_colony","not_phaeocystis","peg_trophy_au_other","authority_rule_assignment_not_yet_applied_to_biomass"
"PEG_BVOL2026_stage5_v1",146647,"Aphanocapsa holsatica","Aphanocapsa","Cyanophyceae","CYANOBACTERIA","AU",2,"other_autotrophic_phytoplankton","","autotroph",FALSE,"provider_comment_mentions_colony","not_phaeocystis","peg_trophy_au_other","authority_rule_assignment_not_yet_applied_to_biomass"
"PEG_BVOL2026_stage5_v1",146647,"Aphanocapsa holsatica","Aphanocapsa","Cyanophyceae","CYANOBACTERIA","AU",3,"other_autotrophic_phytoplankton","","autotroph",FALSE,"provider_comment_mentions_colony","not_phaeocystis","peg_trophy_au_other","authority_rule_assignment_not_yet_applied_to_biomass"
